rec,date,time,bar,close,high,low,f1,f2,f3
L,1260731,800,52,63.94,64.49,62.39,L,1,70.2750
L,1260731,800,52,63.94,64.49,62.39,L,2,67.7667
L,1260731,900,53,63.71,64.17,62.63,L,0,62.6316
L,1260731,900,53,63.71,64.17,62.63,L,1,67.5176
L,1260731,900,53,63.71,64.17,62.63,L,2,70.8320
L,1260731,900,53,63.71,64.17,62.63,L,3,68.2233
L,1260731,1000,54,64.35,64.49,63.50,L,0,62.8732
L,1260731,1000,54,64.35,64.49,63.50,L,1,67.9471
L,1260731,1000,54,64.35,64.49,63.50,L,2,71.3890
L,1260731,1000,54,64.35,64.49,63.50,L,3,68.6800
L,1260731,1100,55,64.76,65.26,64.29,L,0,63.1148
L,1260731,1100,55,64.76,65.26,64.29,L,1,68.3767
L,1260731,1100,55,64.76,65.26,64.29,L,2,71.9460
L,1260731,1100,55,64.76,65.26,64.29,L,3,69.1367
L,1260731,1200,56,64.80,64.98,64.53,U,0,64.8825
L,1260731,1200,56,64.80,64.98,64.53,L,0,63.3564
L,1260731,1200,56,64.80,64.98,64.53,L,1,68.8062
L,1260731,1200,56,64.80,64.98,64.53,L,2,72.5030
L,1260731,1200,56,64.80,64.98,64.53,L,3,69.5933
L,1260731,1300,57,64.59,65.40,64.49,U,0,64.5050
L,1260731,1300,57,64.59,65.40,64.49,L,0,63.5980
L,1260731,1300,57,64.59,65.40,64.49,L,1,69.2357
L,1260731,1300,57,64.59,65.40,64.49,L,2,73.0600
L,1260731,1300,57,64.59,65.40,64.49,L,3,70.0500
L,1260731,1400,58,63.80,64.80,63.75,U,0,65.1717
L,1260731,1400,58,63.80,64.80,63.75,U,1,64.1275
L,1260731,1400,58,63.80,64.80,63.75,L,0,63.8396
L,1260731,1400,58,63.80,64.80,63.75,L,1,69.6652
L,1260731,1400,58,63.80,64.80,63.75,L,2,73.6170
L,1260731,1400,58,63.80,64.80,63.75,L,3,70.5067
L,1260731,1500,59,63.71,64.10,63.58,U,0,64.9433
L,1260731,1500,59,63.71,64.10,63.58,U,1,63.7500
L,1260731,1500,59,63.71,64.10,63.58,L,0,64.0812
L,1260731,1500,59,63.71,64.10,63.58,L,1,70.0948
L,1260731,1500,59,63.71,64.10,63.58,L,2,74.1740
L,1260731,1500,59,63.71,64.10,63.58,L,3,70.9633
X,1260731,1500,59,63.71,64.10,63.58,63.9520
L,1260731,1600,60,63.82,63.89,63.58,U,0,64.7150
L,1260731,1600,60,63.82,63.89,63.58,U,1,63.3725
L,1260731,1600,60,63.82,63.89,63.58,L,0,64.3228
L,1260731,1600,60,63.82,63.89,63.58,L,1,70.5243
L,1260731,1600,60,63.82,63.89,63.58,L,2,74.7310
L,1260731,1600,60,63.82,63.89,63.58,L,3,71.4200
L,1260731,1700,61,63.80,63.95,63.75,U,0,64.4867
L,1260731,1700,61,63.80,63.95,63.75,U,1,62.9950
L,1260731,1700,61,63.80,63.95,63.75,L,0,64.5644
L,1260731,1700,61,63.80,63.95,63.75,L,1,70.9538
L,1260731,1700,61,63.80,63.95,63.75,L,2,75.2880
L,1260731,1700,61,63.80,63.95,63.75,L,3,71.8767
X,1260731,1700,61,63.80,63.95,63.75,64.5244
L,1260803,200,62,65.89,66.50,65.05,U,0,64.2583
L,1260803,200,62,65.89,66.50,65.05,U,1,62.6175
L,1260803,200,62,65.89,66.50,65.05,L,0,64.8060
L,1260803,200,62,65.89,66.50,65.05,L,1,71.3833
L,1260803,200,62,65.89,66.50,65.05,L,2,75.8450
