FanMode,Lookback,MaxPairs,LevelTolATR,MinCount,MinDensity,MaxDistATR,n,toward5,reach10,mirror10,edge,fwd5_mean,fwd5_up,n_above,up5_above,n_below,up5_below
1,40,,0.25,3,0.5,,17,64.7,64.7,58.8,5.9,0.49,47.1,2,100.0,15,40.0
1,40,,0.25,3,0.5,2.0,14,64.3,78.6,71.4,7.1,0.78,50.0,2,100.0,12,41.7
1,40,,0.25,4,0.0,,39,50.0,64.1,82.1,-17.9,1.9,51.3,17,52.9,22,50.0
1,40,,0.25,4,0.0,2.0,33,53.1,66.7,87.9,-21.2,1.07,48.5,13,53.8,20,45.0
1,40,,0.25,4,0.25,,39,50.0,64.1,82.1,-17.9,1.9,51.3,17,52.9,22,50.0
1,40,,0.25,4,0.25,2.0,33,53.1,66.7,87.9,-21.2,1.07,48.5,13,53.8,20,45.0
1,40,,0.25,4,0.33,,33,46.9,60.6,81.8,-21.2,2.93,54.5,13,53.8,20,55.0
1,40,,0.25,4,0.33,2.0,27,50.0,63.0,88.9,-25.9,2.15,51.9,9,55.6,18,50.0
1,40,,0.25,4,0.5,,4,25.0,100.0,100.0,0.0,1.55,75.0,0,nan,4,75.0
1,40,,0.25,4,0.5,2.0,4,25.0,100.0,100.0,0.0,1.55,75.0,0,nan,4,75.0
1,40,,0.25,5,0.0,,4,0.0,0.0,100.0,-100.0,6.25,50.0,2,0.0,2,100.0
1,40,,0.25,5,0.0,2.0,2,0.0,0.0,100.0,-100.0,5.36,50.0,1,0.0,1,100.0
1,40,,0.25,5,0.25,,4,0.0,0.0,100.0,-100.0,6.25,50.0,2,0.0,2,100.0
1,40,,0.25,5,0.25,2.0,2,0.0,0.0,100.0,-100.0,5.36,50.0,1,0.0,1,100.0
1,40,,0.25,5,0.33,,4,0.0,0.0,100.0,-100.0,6.25,50.0,2,0.0,2,100.0
1,40,,0.25,5,0.33,2.0,2,0.0,0.0,100.0,-100.0,5.36,50.0,1,0.0,1,100.0
1,40,,0.35,3,0.0,,198,61.4,69.7,61.6,8.1,1.49,58.1,107,67.3,94,46.8
1,40,,0.35,3,0.0,2.0,167,60.2,73.1,70.1,3.0,1.1,56.9,93,64.5,77,46.8
1,40,,0.35,3,0.25,,194,61.7,70.1,61.9,8.2,1.51,58.2,107,67.3,90,46.7
1,40,,0.35,3,0.25,2.0,164,60.1,73.2,70.7,2.4,1.15,57.3,93,64.5,74,47.3
1,40,,0.35,3,0.33,,158,59.9,69.6,67.1,2.5,1.28,56.3,82,65.9,76,46.1
1,40,,0.35,3,0.33,2.0,136,57.0,72.1,75.7,-3.7,1.31,57.4,72,63.9,64,50.0
1,40,,0.35,3,0.5,,28,75.0,75.0,46.4,28.6,1.59,57.1,11,90.9,17,35.3
1,40,,0.35,3,0.5,2.0,24,75.0,83.3,54.2,29.2,1.68,58.3,10,90.0,14,35.7
1,40,,0.35,4,0.0,,82,56.8,69.5,72.0,-2.4,2.8,58.5,47,63.8,35,51.4
1,40,,0.35,4,0.0,2.0,72,57.7,70.8,76.4,-5.6,2.39,56.9,41,63.4,31,48.4
1,40,,0.35,4,0.25,,82,56.8,69.5,72.0,-2.4,2.8,58.5,47,63.8,35,51.4
1,40,,0.35,4,0.25,2.0,72,57.7,70.8,76.4,-5.6,2.39,56.9,41,63.4,31,48.4
1,40,,0.35,4,0.33,,78,57.1,69.2,71.8,-2.6,2.42,56.4,45,62.2,33,48.5
1,40,,0.35,4,0.33,2.0,70,58.0,70.0,75.7,-5.7,2.31,55.7,40,62.5,30,46.7
1,40,,0.35,4,0.5,,13,69.2,92.3,46.2,46.2,0.79,61.5,6,83.3,7,42.9
1,40,,0.35,4,0.5,2.0,12,66.7,91.7,50.0,41.7,0.27,58.3,5,80.0,7,42.9
1,40,,0.35,5,0.0,,19,36.8,52.6,78.9,-26.3,3.77,57.9,11,45.5,8,75.0
1,40,,0.35,5,0.0,2.0,16,43.8,56.2,81.2,-25.0,4.57,62.5,9,55.6,7,71.4
1,40,,0.35,5,0.25,,19,36.8,52.6,78.9,-26.3,3.77,57.9,11,45.5,8,75.0
1,40,,0.35,5,0.25,2.0,16,43.8,56.2,81.2,-25.0,4.57,62.5,9,55.6,7,71.4
1,40,,0.35,5,0.33,,19,36.8,52.6,78.9,-26.3,3.77,57.9,11,45.5,8,75.0
1,40,,0.35,5,0.33,2.0,16,43.8,56.2,81.2,-25.0,4.57,62.5,9,55.6,7,71.4
1,40,,0.5,3,0.0,,237,51.7,65.0,66.2,-1.3,1.3,58.2,129,58.9,113,56.6
1,40,,0.5,3,0.0,2.0,207,52.4,68.6,71.5,-2.9,0.71,55.1,115,56.5,97,52.6
1,40,,0.5,3,0.25,,234,52.4,65.8,65.8,0.0,1.37,58.5,127,59.8,112,56.2
1,40,,0.5,3,0.25,2.0,205,52.9,69.3,71.2,-2.0,0.82,55.6,113,57.5,97,52.6
1,40,,0.5,3,0.33,,207,51.9,66.7,69.1,-2.4,0.93,56.0,107,57.0,104,53.8
1,40,,0.5,3,0.33,2.0,187,51.6,69.0,73.8,-4.8,0.61,54.5,96,55.2,95,52.6
1,40,,0.5,3,0.5,,65,53.8,67.7,56.9,10.8,1.26,58.5,26,65.4,39,53.8
1,40,,0.5,3,0.5,2.0,54,51.9,70.4,63.0,7.4,0.97,59.3,18,66.7,36,55.6
1,40,,0.5,4,0.0,,113,57.1,71.7,68.1,3.5,2.05,57.5,63,61.9,54,50.0
1,40,,0.5,4,0.0,2.0,97,59.4,74.2,72.2,2.1,1.42,54.6,54,61.1,47,44.7
1,40,,0.5,4,0.25,,113,57.1,71.7,68.1,3.5,2.05,57.5,63,61.9,54,50.0
1,40,,0.5,4,0.25,2.0,97,59.4,74.2,72.2,2.1,1.42,54.6,54,61.1,47,44.7
1,40,,0.5,4,0.33,,111,58.2,73.0,67.6,5.4,1.89,56.8,63,61.9,52,48.1
1,40,,0.5,4,0.33,2.0,97,59.4,74.2,72.2,2.1,1.42,54.6,54,61.1,47,44.7
1,40,,0.5,4,0.5,,38,60.5,81.6,57.9,23.7,0.36,50.0,22,59.1,16,37.5
1,40,,0.5,4,0.5,2.0,30,60.0,83.3,63.3,20.0,-0.64,46.7,14,57.1,16,37.5
1,40,,0.5,5,0.0,,48,46.8,54.2,77.1,-22.9,3.29,58.3,28,53.6,21,61.9
1,40,,0.5,5,0.0,2.0,43,50.0,55.8,79.1,-23.3,3.0,58.1,25,56.0,19,57.9
1,40,,0.5,5,0.25,,48,46.8,54.2,77.1,-22.9,3.29,58.3,28,53.6,21,61.9
1,40,,0.5,5,0.25,2.0,43,50.0,55.8,79.1,-23.3,3.0,58.1,25,56.0,19,57.9
1,40,,0.5,5,0.33,,48,46.8,54.2,77.1,-22.9,3.29,58.3,28,53.6,21,61.9
1,40,,0.5,5,0.33,2.0,43,50.0,55.8,79.1,-23.3,3.0,58.1,25,56.0,19,57.9
1,40,,0.5,5,0.5,,14,50.0,57.1,78.6,-21.4,-0.65,28.6,7,28.6,7,28.6
1,40,,0.5,5,0.5,2.0,11,54.5,63.6,81.8,-18.2,-1.57,27.3,4,25.0,7,28.6
1,40,,0.5,7,0.0,,3,0.0,0.0,100.0,-100.0,1.25,33.3,2,0.0,1,100.0
1,40,,0.5,7,0.0,2.0,3,0.0,0.0,100.0,-100.0,1.25,33.3,2,0.0,1,100.0
1,40,,0.5,7,0.25,,3,0.0,0.0,100.0,-100.0,1.25,33.3,2,0.0,1,100.0
1,40,,0.5,7,0.25,2.0,3,0.0,0.0,100.0,-100.0,1.25,33.3,2,0.0,1,100.0
1,40,,0.5,7,0.33,,3,0.0,0.0,100.0,-100.0,1.25,33.3,2,0.0,1,100.0
1,40,,0.5,7,0.33,2.0,3,0.0,0.0,100.0,-100.0,1.25,33.3,2,0.0,1,100.0
1,40,,0.5,7,0.5,,3,0.0,0.0,100.0,-100.0,1.25,33.3,2,0.0,1,100.0
1,40,,0.5,7,0.5,2.0,3,0.0,0.0,100.0,-100.0,1.25,33.3,2,0.0,1,100.0
1,80,,0.25,3,0.0,,237,55.9,69.2,62.4,6.8,0.25,50.2,140,55.0,102,43.1
1,80,,0.25,3,0.0,2.0,198,53.8,73.7,72.2,1.5,0.25,49.5,120,52.5,83,44.6
1,80,,0.25,3,0.25,,75,58.1,77.3,62.7,14.7,3.44,61.3,35,71.4,40,52.5
1,80,,0.25,3,0.25,2.0,58,61.4,82.8,74.1,8.6,4.7,67.2,29,79.3,29,55.2
1,80,,0.25,3,0.33,,18,70.6,83.3,72.2,11.1,8.33,77.8,9,100.0,9,55.6
1,80,,0.25,3,0.33,2.0,16,66.7,81.2,81.2,0.0,9.45,81.2,8,100.0,8,62.5
1,80,,0.25,4,0.0,,113,55.4,70.8,61.9,8.8,0.23,47.8,70,52.9,44,40.9
1,80,,0.25,4,0.0,2.0,96,53.7,72.9,71.9,1.0,-0.19,45.8,62,50.0,35,40.0
1,80,,0.25,4,0.25,,48,55.3,81.2,60.4,20.8,2.33,56.2,18,66.7,30,50.0
1,80,,0.25,4,0.25,2.0,38,56.8,81.6,73.7,7.9,2.41,57.9,16,68.8,22,50.0
1,80,,0.25,4,0.33,,8,57.1,62.5,62.5,0.0,13.33,87.5,4,100.0,4,75.0
1,80,,0.25,4,0.33,2.0,7,50.0,57.1,71.4,-14.3,13.27,85.7,3,100.0,4,75.0
1,80,,0.25,5,0.0,,33,59.4,69.7,66.7,3.0,1.08,60.6,21,66.7,12,50.0
1,80,,0.25,5,0.0,2.0,31,60.0,71.0,71.0,0.0,0.65,58.1,20,65.0,11,45.5
1,80,,0.25,5,0.25,,17,50.0,76.5,82.4,-5.9,1.59,64.7,7,71.4,10,60.0
1,80,,0.25,5,0.25,2.0,16,53.3,75.0,87.5,-12.5,1.59,62.5,7,71.4,9,55.6
1,80,,0.25,5,0.33,,3,0.0,33.3,100.0,-66.7,12.3,66.7,0,nan,3,66.7
1,80,,0.25,5,0.33,2.0,3,0.0,33.3,100.0,-66.7,12.3,66.7,0,nan,3,66.7
1,80,,0.35,3,0.0,,279,53.2,67.7,64.5,3.2,0.33,53.0,165,55.2,119,49.6
1,80,,0.35,3,0.0,2.0,240,52.7,70.8,72.1,-1.2,0.16,51.2,143,53.1,102,48.0
1,80,,0.35,3,0.25,,108,57.9,74.1,65.7,8.3,2.1,58.3,60,65.0,51,51.0
1,80,,0.35,3,0.25,2.0,89,59.1,77.5,75.3,2.2,2.56,60.7,52,67.3,40,52.5
1,80,,0.35,3,0.33,,54,56.6,72.2,77.8,-5.6,4.37,66.7,29,72.4,25,60.0
1,80,,0.35,3,0.33,2.0,48,57.4,75.0,81.2,-6.2,4.7,68.8,27,74.1,21,61.9
1,80,,0.35,4,0.0,,179,50.6,66.5,64.8,1.7,0.8,53.1,110,52.7,74,52.7
1,80,,0.35,4,0.0,2.0,153,50.0,69.9,72.5,-2.6,0.86,52.3,99,51.5,59,52.5
1,80,,0.35,4,0.25,,88,57.5,73.9,61.4,12.5,2.84,60.2,48,66.7,43,53.5
1,80,,0.35,4,0.25,2.0,72,57.7,76.4,70.8,5.6,3.45,62.5,43,67.4,32,56.2
1,80,,0.35,4,0.33,,37,52.8,67.6,70.3,-2.7,6.92,73.0,20,75.0,17,70.6
1,80,,0.35,4,0.33,2.0,31,53.3,71.0,74.2,-3.2,7.92,77.4,18,77.8,13,76.9
1,80,,0.35,5,0.0,,93,53.3,64.5,67.7,-3.2,1.07,52.7,60,55.0,34,50.0
1,80,,0.35,5,0.0,2.0,82,51.9,67.1,74.4,-7.3,1.06,52.4,54,53.7,29,51.7
1,80,,0.35,5,0.25,,52,62.7,75.0,67.3,7.7,3.86,67.3,26,80.8,27,55.6
1,80,,0.35,5,0.25,2.0,46,62.2,76.1,73.9,2.2,4.15,69.6,25,80.0,22,59.1
1,80,,0.35,5,0.33,,21,55.0,66.7,71.4,-4.8,7.6,71.4,8,87.5,13,61.5
1,80,,0.35,5,0.33,2.0,18,52.9,66.7,77.8,-11.1,8.4,77.8,8,87.5,10,70.0
1,80,,0.35,7,0.0,,3,0.0,33.3,100.0,-66.7,9.62,100.0,0,nan,3,100.0
1,80,,0.35,7,0.0,2.0,3,0.0,33.3,100.0,-66.7,9.62,100.0,0,nan,3,100.0
1,80,,0.35,7,0.25,,3,0.0,33.3,100.0,-66.7,9.62,100.0,0,nan,3,100.0
1,80,,0.35,7,0.25,2.0,3,0.0,33.3,100.0,-66.7,9.62,100.0,0,nan,3,100.0
1,80,,0.35,7,0.33,,3,0.0,33.3,100.0,-66.7,9.62,100.0,0,nan,3,100.0
1,80,,0.35,7,0.33,2.0,3,0.0,33.3,100.0,-66.7,9.62,100.0,0,nan,3,100.0
1,80,,0.5,3,0.0,,297,50.3,62.6,65.0,-2.4,0.66,55.6,169,55.0,133,55.6
1,80,,0.5,3,0.0,2.0,253,50.8,66.0,71.1,-5.1,0.34,53.0,145,53.1,113,52.2
1,80,,0.5,3,0.25,,171,47.6,60.8,65.5,-4.7,0.97,55.6,90,53.3,84,58.3
1,80,,0.5,3,0.25,2.0,142,48.2,64.8,72.5,-7.7,0.69,53.5,77,51.9,68,55.9
1,80,,0.5,3,0.33,,75,51.4,73.3,73.3,0.0,3.99,69.3,34,73.5,41,65.9
1,80,,0.5,3,0.33,2.0,64,54.0,75.0,79.7,-4.7,4.25,70.3,32,75.0,32,65.6
1,80,,0.5,3,0.5,,8,37.5,62.5,100.0,-37.5,10.09,100.0,3,100.0,5,100.0
1,80,,0.5,3,0.5,2.0,7,42.9,71.4,100.0,-28.6,9.35,100.0,3,100.0,4,100.0
1,80,,0.5,4,0.0,,244,48.6,61.9,62.7,-0.8,0.63,53.7,143,51.7,106,55.7
1,80,,0.5,4,0.0,2.0,211,48.6,64.0,68.2,-4.3,0.3,51.2,127,49.6,89,52.8
1,80,,0.5,4,0.25,,148,46.9,58.8,62.2,-3.4,1.19,55.4,78,52.6,73,58.9
1,80,,0.5,4,0.25,2.0,123,46.7,61.8,69.1,-7.3,0.9,52.8,68,50.0,58,56.9
1,80,,0.5,4,0.33,,56,49.1,69.6,66.1,3.6,5.56,73.2,25,76.0,31,71.0
1,80,,0.5,4,0.33,2.0,45,52.3,71.1,73.3,-2.2,6.31,75.6,23,78.3,22,72.7
1,80,,0.5,4,0.5,,6,50.0,50.0,100.0,-50.0,12.12,100.0,3,100.0,3,100.0
1,80,,0.5,4,0.5,2.0,5,60.0,60.0,100.0,-40.0,11.49,100.0,3,100.0,2,100.0
1,80,,0.5,5,0.0,,160,46.5,64.4,64.4,0.0,0.58,52.5,87,49.4,74,56.8
1,80,,0.5,5,0.0,2.0,143,45.8,64.3,69.2,-4.9,0.28,50.3,81,46.9,63,55.6
1,80,,0.5,5,0.25,,111,46.4,61.3,63.1,-1.8,1.49,56.8,54,53.7,58,60.3
1,80,,0.5,5,0.25,2.0,96,45.3,61.5,69.8,-8.3,1.13,54.2,50,50.0,47,59.6
1,80,,0.5,5,0.33,,48,51.1,68.8,62.5,6.2,5.95,77.1,18,88.9,30,70.0
1,80,,0.5,5,0.33,2.0,40,53.8,67.5,70.0,-2.5,6.5,80.0,18,88.9,22,72.7
1,80,,0.5,5,0.5,,6,50.0,50.0,100.0,-50.0,12.12,100.0,3,100.0,3,100.0
1,80,,0.5,5,0.5,2.0,5,60.0,60.0,100.0,-40.0,11.49,100.0,3,100.0,2,100.0
1,80,,0.5,7,0.0,,33,37.5,54.5,75.8,-21.2,2.79,57.6,15,46.7,18,66.7
1,80,,0.5,7,0.0,2.0,31,40.0,54.8,77.4,-22.6,2.43,54.8,15,46.7,16,62.5
1,80,,0.5,7,0.25,,30,37.9,50.0,76.7,-26.7,3.3,63.3,13,53.8,17,70.6
1,80,,0.5,7,0.25,2.0,28,40.7,50.0,78.6,-28.6,2.94,60.7,13,53.8,15,66.7
1,80,,0.5,7,0.33,,19,38.9,57.9,78.9,-21.1,7.16,84.2,5,100.0,14,78.6
1,80,,0.5,7,0.33,2.0,17,43.8,58.8,82.4,-23.5,7.01,82.4,5,100.0,12,75.0
1,80,,0.5,7,0.5,,3,0.0,0.0,100.0,-100.0,17.39,100.0,0,nan,3,100.0
1,80,,0.5,7,0.5,2.0,2,0.0,0.0,100.0,-100.0,18.46,100.0,0,nan,2,100.0
1,120,,0.25,3,0.0,,259,57.4,68.0,62.2,5.8,0.68,54.4,142,60.6,122,46.7
1,120,,0.25,3,0.0,2.0,225,58.0,72.4,68.4,4.0,0.66,52.9,122,59.8,108,44.4
1,120,,0.25,3,0.25,,15,53.3,73.3,80.0,-6.7,1.25,53.3,11,54.5,4,50.0
1,120,,0.25,3,0.25,2.0,11,63.6,90.9,90.9,0.0,3.53,63.6,7,71.4,4,50.0
1,120,,0.25,3,0.33,,9,77.8,100.0,88.9,11.1,6.48,77.8,5,100.0,4,50.0
1,120,,0.25,3,0.33,2.0,9,77.8,100.0,88.9,11.1,6.48,77.8,5,100.0,4,50.0
1,120,,0.25,4,0.0,,179,60.1,68.7,58.7,10.1,0.97,53.1,97,61.9,83,42.2
1,120,,0.25,4,0.0,2.0,157,59.0,72.0,65.0,7.0,0.88,51.6,84,59.5,74,41.9
1,120,,0.25,4,0.25,,3,33.3,66.7,66.7,0.0,-1.42,33.3,3,33.3,0,nan
1,120,,0.25,4,0.25,2.0,2,0.0,50.0,100.0,-50.0,-9.72,0.0,2,0.0,0,nan
1,120,,0.25,5,0.0,,101,59.0,68.3,63.4,5.0,1.16,54.5,60,61.7,41,43.9
1,120,,0.25,5,0.0,2.0,89,56.8,73.0,69.7,3.4,1.11,52.8,51,58.8,38,44.7
1,120,,0.25,5,0.25,,3,33.3,66.7,66.7,0.0,-1.42,33.3,3,33.3,0,nan
1,120,,0.25,5,0.25,2.0,2,0.0,50.0,100.0,-50.0,-9.72,0.0,2,0.0,0,nan
1,120,,0.25,7,0.0,,14,42.9,50.0,64.3,-14.3,-2.34,35.7,11,36.4,3,33.3
1,120,,0.25,7,0.0,2.0,10,40.0,70.0,80.0,-10.0,-2.9,30.0,7,28.6,3,33.3
1,120,,0.35,3,0.0,,301,54.7,67.8,63.1,4.7,0.77,55.8,169,59.2,137,51.1
1,120,,0.35,3,0.0,2.0,262,54.0,70.6,69.1,1.5,0.49,53.4,147,56.5,120,49.2
1,120,,0.35,3,0.25,,47,44.7,63.8,72.3,-8.5,1.4,46.8,34,44.1,13,53.8
1,120,,0.35,3,0.25,2.0,42,45.2,66.7,76.2,-9.5,1.93,47.6,29,44.8,13,53.8
1,120,,0.35,3,0.33,,19,57.9,78.9,94.7,-15.8,-2.09,47.4,11,54.5,8,37.5
1,120,,0.35,3,0.33,2.0,18,61.1,83.3,94.4,-11.1,-1.36,50.0,10,60.0,8,37.5
1,120,,0.35,4,0.0,,214,57.3,69.6,58.9,10.7,0.79,53.3,122,59.0,95,45.3
1,120,,0.35,4,0.0,2.0,188,55.1,71.3,64.9,6.4,0.58,51.1,107,55.1,84,45.2
1,120,,0.35,4,0.25,,29,34.5,55.2,62.1,-6.9,3.15,44.8,24,37.5,5,80.0
1,120,,0.35,4,0.25,2.0,26,30.8,53.8,65.4,-11.5,3.31,42.3,21,33.3,5,80.0
1,120,,0.35,4,0.33,,3,0.0,33.3,100.0,-66.7,-11.51,0.0,3,0.0,0,nan
1,120,,0.35,4,0.33,2.0,2,0.0,50.0,100.0,-50.0,-9.72,0.0,2,0.0,0,nan
1,120,,0.35,5,0.0,,166,58.2,71.1,59.6,11.4,0.49,50.6,104,56.7,65,40.0
1,120,,0.35,5,0.0,2.0,148,55.1,71.6,64.9,6.8,0.27,48.6,93,52.7,58,41.4
1,120,,0.35,5,0.25,,27,37.0,59.3,63.0,-3.7,4.02,48.1,22,40.9,5,80.0
1,120,,0.35,5,0.25,2.0,25,32.0,56.0,68.0,-12.0,3.53,44.0,20,35.0,5,80.0
1,120,,0.35,5,0.33,,2,0.0,50.0,100.0,-50.0,-9.72,0.0,2,0.0,0,nan
