name,group,land,tiland,prefw,preti,pre_last,pre_met_frac,post_n,post_met,post_last,post_boots,wd
?,Parkview MHP-Cust,09/17 08:03,09/17 08:05,16185,314,Metering,1.0,2,1,Metering,0,0
?,Parkview MHP-Cust,09/15 09:34,09/12 09:14,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Parkview MHP-Cust,09/17 08:12,09/17 08:15,17037,344,Metering,1.0,2,1,Metering,0,0
?,Parkview MHP-Cust,09/16 18:16,09/16 18:21,17037,344,Metering,1.0,2,1,Metering,0,0
?,Parkview MHP-Cust,09/17 08:20,09/17 08:22,17037,344,Metering,1.0,2,1,Metering,0,0
?,Island Club MHC-CUST,09/15 07:57,09/12 08:26,17078,391,Calibrating,0.0,6,0,Calibrating,0,0
?,Lake of the Pines Community Association - Cust,09/16 09:20,09/16 09:22,17037,344,Metering,1.0,4,3,Metering,0,0
?,Lake of the Pines Community Association - Cust,09/16 07:44,09/16 07:46,17037,344,Metering,1.0,6,5,Metering,0,0
?,Lake of the Pines Community Association - Cust,09/16 06:57,09/16 07:04,17037,344,Metering,1.0,4,3,Metering,0,0
?,Lake of the Pines Community Association - Cust,09/16 09:05,09/16 09:07,17037,344,Metering,1.0,4,0,Failed Cal,0,0
?,Lake of the Pines Community Association - Cust,09/16 07:33,09/16 07:36,17037,344,Metering,0.8947368421052632,4,3,Metering,0,0
?,Lake of the Pines Community Association - Cust,09/16 07:25,09/16 07:28,17037,344,Metering,0.78125,8,7,Metering,0,0
?,Lake of the Pines Community Association - Cust,09/16 08:51,09/16 08:59,17037,344,Metering,1.0,9,7,Metering,0,0
?,Lake of the Pines Community Association - Cust,09/16 09:37,09/16 09:39,17037,344,Metering,1.0,4,3,Metering,0,0
?,Lake of the Pines Community Association - Cust,09/15 20:32,09/15 20:35,17037,344,Metering,1.0,8,7,Metering,0,0
?,Lake of the Pines Community Association - Cust,09/15 17:33,09/15 17:35,17037,344,Metering,0.9883720930232558,4,3,Metering,0,0
?,Lake of the Pines Community Association - Cust,09/16 08:28,09/16 08:30,17037,344,Metering,0.9210526315789473,2,1,Metering,0,0
?,Tuttle Estates MHC-Cust,09/17 08:09,09/17 08:12,17037,344,Metering,1.0,2,1,Metering,0,0
?,Tuttle Estates MHC-Cust,09/17 04:44,09/17 04:47,16130,296,Metering,1.0,2,1,Metering,0,0
?,Pelican Shores North HOA - Cust,09/14 09:47,09/14 09:49,17037,344,Metering,1.0,22,18,Metering,0,0
?,Pelican Shores North HOA - Cust,09/14 10:28,09/14 10:30,17028,341,Metering,0.9777777777777777,10,9,Metering,0,0
?,Pelican Shores North HOA - Cust,09/14 19:17,09/15 05:15,17028,341,Metering,1.0,12,11,Metering,0,0
?,Pelican Shores North HOA - Cust,09/14 18:15,09/14 18:18,17028,343,Metering,1.0,14,10,Metering,0,0
?,Estancia MHP-CUST,09/15 08:22,09/12 09:23,17078,391,Failed Cal,0.0,6,0,Calibrating,0,0
?,Estancia MHP-CUST,09/15 08:31,09/12 09:27,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Estancia MHP-CUST,09/16 10:38,09/12 09:43,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Estancia MHP-CUST,09/15 08:53,09/12 04:09,17078,391,Calibrating,0.32142857142857145,4,0,Calibrating,0,0
?,Estancia MHP-CUST,09/15 08:25,09/12 09:28,17078,391,Failed Cal,0.0,8,0,Failed Cal,1,0
