name,group,land,tiland,prefw,preti,pre_last,pre_met_frac,post_n,post_met,post_last,post_boots,wd
?,Holly Tree MHP,09/16 08:14,09/16 08:17,16185,314,Metering,1.0,4,4,Metering,0,0
?,The Oaks MHC,09/17 04:22,09/17 04:25,16131,296,Metering,1.0,4,0,Failed Cal,0,0
?,Holly Tree MHP,09/15 08:26,09/15 08:29,17066,372,Metering,0.9722222222222222,10,9,Metering,0,0
?,Shirlee's MHP,09/16 11:37,09/16 11:39,17060,368,Metering,0.967741935483871,2,1,Metering,0,0
?,Ponderosa MHC,09/16 11:42,09/12 09:47,17078,391,Failed Cal,0.0,2,0,Failed Cal,0,0
?,Bannock MHP,09/16 11:38,09/16 11:41,17032,344,Metering,1.0,2,1,Metering,0,0
?,Arizona Manor,09/15 12:29,09/12 11:31,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Kay Bee Mobile Villa MHP,09/14 12:15,09/12 11:24,17078,391,Calibrating,0.1320754716981132,6,0,Calibrating,0,0
?,The Oaks MHC,09/17 04:36,09/17 04:40,16131,296,Metering,1.0,6,2,Metering,0,0
?,Smitty's MHP,09/16 08:17,09/16 08:20,17037,344,Metering,0.9583333333333334,4,3,Metering,0,0
?,Shirlee's MHP,09/16 09:13,09/16 09:16,17037,344,Metering,1.0,6,2,Metering,0,0
?,Shirlee's MHP,09/16 10:18,09/16 10:21,17032,344,Metering,1.0,2,1,Metering,0,0
?,Pleasant Acres,09/15 12:37,09/12 11:26,17078,391,Metering,0.2894736842105263,4,3,Metering,0,0
?,Oak Forest Estate MHC,09/15 07:14,09/12 08:10,17078,391,Failed Cal,0.08333333333333333,4,0,Calibrating,0,0
?,Holly Tree MHP,09/16 09:06,09/16 09:10,16185,314,Metering,1.0,4,1,Calibrating,0,28
?,Ponderosa MHC,09/16 09:37,09/12 07:55,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Riverview Apartments MF,09/15 09:25,09/12 07:47,17078,391,Failed Cal,0.0,6,0,Calibrating,0,0
?,Smitty's MHP,09/16 10:45,09/16 10:49,17037,344,Metering,1.0,8,4,Metering,0,0
?,The Oaks MHC,09/17 03:59,09/17 04:01,16131,296,Metering,1.0,6,2,Metering,0,0
?,Oakwood MHP,09/14 12:38,09/12 11:38,17078,391,Calibrating,0.0,6,0,Calibrating,0,0
?,Crystal Acres MHC,09/17 08:22,09/17 08:24,17032,344,Metering,1.0,2,0,Calibrating,0,0
?,Aurora MHC,09/14 07:47,09/14 07:50,17037,344,Metering,0.2692307692307692,6,5,Metering,0,0
?,Bannock MHP,09/16 10:02,09/16 10:05,17032,344,Metering,1.0,2,1,Metering,0,0
?,Johnson's Trailer Park,09/15 06:33,09/12 07:47,17078,391,Calibrating,0.14814814814814814,8,4,Metering,0,0
?,Lafountaine MHC,09/15 10:03,09/12 07:25,17078,391,Failed Cal,0.0,8,0,Failed Cal,1,0
?,Ponderosa MHC,09/15 10:38,09/12 09:18,17078,391,Calibrating,0.2608695652173913,4,0,Calibrating,0,0
?,Holly Tree MHP,09/15 09:43,09/15 09:46,16185,314,Metering,1.0,8,7,Metering,0,0
?,Aurora MHC,09/14 06:43,09/14 06:46,17037,344,Metering,0.033707865168539325,6,5,Metering,0,0
?,The Oaks MHC,09/17 06:19,09/17 06:21,16131,296,Metering,1.0,2,1,Metering,0,0
?,The Oaks MHC,09/17 05:14,09/17 05:17,16131,296,Metering,1.0,6,2,Metering,0,0
?,Holly Tree MHP,09/16 07:44,09/16 07:47,16185,314,Metering,1.0,2,1,Metering,0,0
?,Broadway MHP DesMoines,09/16 07:47,09/12 09:29,17078,391,Failed Cal,0.0,2,0,Failed Cal,0,0
?,Holly Tree MHP,09/16 09:11,09/16 09:14,16185,314,Metering,1.0,2,1,Metering,0,0
?,Pace East,09/14 13:13,09/12 12:21,17078,391,Failed Cal,0.0,8,0,Calibrating,0,0
?,Bannock MHP,09/16 11:51,09/16 11:53,17032,344,Metering,1.0,2,1,Metering,0,0
?,Holly Tree MHP,09/15 07:50,09/12 07:28,17078,391,Metering,0.9375,4,3,Metering,0,0
?,Roosevelt MHC,09/14 11:23,09/12 11:10,17078,391,Failed Cal,0.0,6,0,Calibrating,0,0
?,Crystal Acres MHC,09/16 08:51,09/16 08:53,17032,344,Metering,1.0,4,3,Metering,0,0
?,The Oaks MHC,09/17 05:07,09/17 05:10,16131,296,Metering,1.0,2,1,Metering,0,0
?,Aurora MHC,09/14 09:18,09/14 09:21,17037,344,Metering,1.0,6,5,Metering,0,0
?,Holly Tree MHP,09/16 07:41,09/16 07:45,16185,314,Metering,1.0,6,2,Metering,0,0
?,The Oaks MHC,09/17 03:57,09/17 03:59,16131,296,Metering,1.0,2,1,Metering,0,0
?,Smitty's MHP,09/16 08:29,09/16 08:31,17037,344,Failed Cal,0.0,6,0,Failed Cal,0,0
?,Aurora MHC,09/15 08:52,09/12 08:03,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Holly Tree MHP,09/16 07:29,09/16 07:32,16185,314,Metering,1.0,4,3,Metering,0,0
?,Backwater MHC,09/16 06:42,09/16 06:44,17040,354,Metering,0.8490566037735849,8,2,Calibrating,0,39
?,Crystal Acres MHC,09/15 09:38,09/15 09:41,17037,344,Metering,0.5714285714285714,4,3,Metering,0,39
?,Dorr Drive MHP,09/15 09:31,09/12 07:54,17078,391,Calibrating,0.3333333333333333,6,0,Calibrating,0,0
?,Crystal Acres MHC,09/16 07:19,09/16 07:22,17037,344,Metering,1.0,8,2,Metering,0,9
?,The Oaks MHC,09/17 03:17,09/17 03:20,16131,296,Metering,1.0,2,1,Metering,0,0
?,Sara Drive MHP,09/15 07:35,09/15 07:36,17066,372,Metering,0.9393939393939394,10,9,Metering,0,0
?,The Oaks MHC,09/17 05:32,09/17 05:36,16131,296,Metering,1.0,6,4,Metering,1,0
?,Oakwood MHP,09/15 08:13,09/12 09:22,17078,391,Failed Cal,0.0,6,0,Calibrating,0,0
?,Holly Tree MHP,09/16 09:14,09/16 09:17,17037,344,Metering,1.0,4,3,Metering,0,1
?,Hillview MHC,09/15 08:01,09/12 10:28,17078,391,Failed Cal,0.5263157894736842,4,0,Calibrating,0,0
?,Holly Tree MHP,09/16 07:48,09/16 07:50,16185,314,Metering,1.0,4,3,Metering,0,0
?,Terrace on the Greens,09/14 17:50,09/14 17:53,17037,344,Metering,1.0,6,5,Metering,0,0
?,Oakwood MHP,09/15 12:25,09/12 10:47,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Sara Drive MHP,09/15 07:17,09/15 07:20,362,209,Metering,1.0,16,0,Calibrating,0,55
?,Crystal Acres MHC,09/16 08:02,09/16 08:04,17032,344,Metering,1.0,4,3,Metering,0,0
?,Ponderosa MHC,09/15 08:49,09/12 08:13,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,The Oaks MHC,09/15 10:24,09/12 03:42,17078,391,Metering,0.9310344827586207,4,3,Metering,0,0
?,Parkwood,09/15 09:24,09/12 08:38,17078,391,Failed Cal,0.0,6,0,Calibrating,0,0
?,The Oaks MHC,09/17 03:32,09/17 03:35,16131,296,Metering,1.0,2,1,Metering,0,0
?,Holly Tree MHP,09/16 08:21,09/16 08:24,16185,314,Metering,1.0,8,4,Metering,0,0
?,Hillview MHC,09/15 10:26,09/12 09:02,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Holly Tree MHP,09/16 09:07,09/16 09:11,16185,314,Metering,1.0,8,4,Metering,0,0
?,Holly Tree MHP,09/15 07:06,09/12 09:30,17078,391,Metering,0.9722222222222222,6,4,Metering,0,0
?,Holly Tree MHP,09/16 08:11,09/16 08:13,16185,314,Metering,1.0,4,3,Metering,0,0
?,Holly Tree MHP,09/16 08:14,09/16 08:17,16185,314,Metering,1.0,4,3,Metering,0,0
?,Holly Tree MHP,09/15 08:51,09/15 08:55,16185,314,Metering,1.0,8,7,Metering,0,0
?,The Oaks MHC,09/17 05:09,09/17 05:10,16131,296,Metering,1.0,4,0,Failed Cal,0,0
?,Oswego MHP,09/15 09:27,09/12 08:29,17078,391,Calibrating,0.0,6,0,Calibrating,0,0
?,Kachina,09/14 12:08,09/12 11:20,17078,391,Failed Cal,0.1111111111111111,12,4,Metering,1,0
?,Holly Tree MHP,09/16 08:11,09/16 08:14,16185,314,Metering,1.0,8,4,Metering,0,0
?,Holly Tree MHP,09/16 09:33,09/16 09:36,16185,314,Metering,1.0,4,3,Metering,0,0
?,The Oaks MHC,09/17 05:31,09/17 05:34,16131,296,Metering,1.0,2,1,Metering,0,0
?,Holly Tree MHP,09/16 08:50,09/16 08:52,16185,314,Metering,1.0,4,3,Metering,0,0
?,Haven MHP,09/15 10:28,09/12 09:59,17078,391,Calibrating,0.0,4,0,Calibrating,0,0
?,Shirlee's MHP,09/16 08:45,09/16 08:49,17060,368,Metering,0.9230769230769231,2,1,Metering,0,0
?,Holly Tree MHP,09/16 07:44,09/16 07:47,16185,314,Metering,1.0,4,3,Metering,0,0
?,Riverview Apartments MF,09/15 07:07,09/12 06:58,17078,391,Failed Cal,0.42105263157894735,4,0,Failed Cal,0,0
?,Holly Tree MHP,09/17 08:04,09/17 08:06,16185,314,Metering,1.0,2,1,Metering,0,0
?,Aurora MHC,09/14 10:05,09/12 07:56,17078,391,Failed Cal,0.0,8,0,Failed Cal,0,0
?,Holly Tree MHP,09/17 07:08,09/17 07:10,16185,314,Metering,0.9722222222222222,2,1,Metering,0,0
?,Holly Tree MHP,09/16 08:18,09/16 08:21,16185,314,Metering,1.0,4,3,Metering,0,0
?,Sunview MHP,09/15 09:15,09/12 08:13,17078,391,Calibrating,0.0,4,0,Calibrating,0,0
?,Holly Tree MHP,09/16 08:27,09/16 08:30,17037,344,Metering,1.0,4,3,Metering,0,0
?,Rustic Acres MHC,09/14 07:45,09/14 07:48,17037,344,Metering,1.0,4,3,Metering,0,0
?,Shirlee's MHP,09/16 08:51,09/16 08:54,17032,344,Metering,1.0,2,1,Metering,0,0
?,Holly Tree MHP,09/16 07:55,09/16 07:58,16185,314,Metering,1.0,4,3,Metering,0,0
?,The Oaks MHC,09/15 04:21,09/15 04:24,16131,296,Metering,1.0,18,16,Metering,1,1
?,Rustic Acres MHC,09/14 11:17,09/12 11:13,17078,391,Failed Cal,0.0,6,0,Calibrating,0,0
?,The Oaks MHC,09/17 04:09,09/17 04:12,16131,296,Metering,1.0,2,1,Metering,0,0
?,Bannock MHP,09/16 07:04,09/16 07:07,17032,344,Metering,1.0,4,3,Metering,0,0
?,Parkwood,09/15 07:46,09/12 08:38,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Aurora MHC,09/14 06:43,09/12 03:30,17078,391,Failed Cal,0.45454545454545453,6,0,Calibrating,0,0
?,Glenn Dorado,09/15 12:00,09/12 11:20,17078,391,Failed Cal,0.4266666666666667,6,2,Metering,0,0
?,Sunnyvale MHP,09/15 10:33,09/12 09:20,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Holly Tree MHP,09/16 10:11,09/16 10:15,16185,314,Metering,1.0,8,6,Metering,0,0
?,Holly Tree MHP,09/16 07:46,09/16 07:48,16185,314,Metering,1.0,4,3,Metering,0,0
?,Aurora MHC,09/14 08:25,09/12 07:05,17078,391,Failed Cal,0.2857142857142857,8,0,Calibrating,0,0
?,Roosevelt MHC,09/15 12:30,09/12 11:22,17078,391,Calibrating,0.0,4,0,Calibrating,0,0
?,Holly Tree MHP,09/16 07:58,09/16 14:11,16185,314,Metering,1.0,6,5,Metering,0,0
?,Needham MHP,09/15 09:20,09/12 09:24,17078,391,Failed Cal,0.0,6,0,Failed Cal,0,0
?,Backwater MHC,09/15 09:52,09/12 09:54,17078,391,Calibrating,0.5384615384615384,10,7,Metering,1,2
?,The Oaks MHC,09/17 04:40,09/17 04:43,16131,296,Metering,1.0,6,2,Metering,0,0
?,Heritage Apartments,09/15 08:33,09/12 06:43,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Kay Bee Mobile Villa MHP,09/14 12:00,09/12 11:00,17078,391,Failed Cal,0.026785714285714284,6,0,Calibrating,0,0
?,Holly Tree MHP,09/16 07:42,09/16 07:46,17037,344,Metering,1.0,4,3,Metering,0,0
?,Crystal Acres MHC,09/15 08:14,09/12 07:53,17078,391,Calibrating,0.0,6,0,Calibrating,0,0
?,Sara Drive MHP,09/15 07:37,09/12 04:06,17078,391,Metering,0.926829268292683,6,4,Metering,0,0
?,Kingsbrook MHC,09/15 07:24,09/12 08:25,17078,391,Failed Cal,0.0,6,0,Calibrating,0,0
?,Broadway MHP DesMoines,09/15 10:36,09/12 09:07,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Holly Tree MHP,09/17 06:53,09/17 06:57,16185,314,Metering,1.0,2,1,Metering,0,0
?,Holly Tree MHP,09/16 07:45,09/16 07:49,16185,314,Metering,1.0,8,4,Metering,0,0
?,Backwater MHC,09/17 07:02,09/17 07:04,17032,344,Metering,1.0,2,1,Metering,0,0
?,Aurora MHC,09/14 06:41,09/14 06:43,17037,344,Calibrating,0.0,18,1,Failed Cal,10,0
?,Rustic Acres MHC,09/14 07:59,09/14 08:01,17037,344,Failed Cal,0.0,8,0,Calibrating,0,0
?,Roosevelt MHC,09/15 12:50,09/12 11:00,17078,391,Calibrating,0.0,4,0,Calibrating,0,0
?,Aurora MHC,09/14 04:37,09/14 04:40,16131,296,Metering,1.0,8,6,Metering,1,0
?,Mena Estates MHC,09/15 09:20,09/12 09:35,17078,391,Calibrating,0.4791666666666667,6,1,Calibrating,0,95
?,Holly Tree MHP,09/16 08:53,09/16 08:56,16185,314,Metering,1.0,4,3,Metering,0,0
?,Holly Tree MHP,09/16 07:53,09/16 07:56,16185,314,Metering,1.0,4,3,Metering,0,0
?,Holly Tree MHP,09/16 09:16,09/16 09:18,16185,314,Metering,1.0,4,3,Metering,0,0
?,Holly Tree MHP,09/16 07:29,09/16 07:32,16185,314,Metering,1.0,8,4,Metering,0,0
?,Holly Tree MHP,09/17 07:28,09/17 07:31,16185,314,Metering,1.0,2,1,Metering,0,0
?,Shirlee's MHP,09/16 10:59,09/16 11:02,17032,344,Metering,1.0,2,1,Metering,0,0
?,Rustic Acres MHC,09/15 11:16,09/12 12:22,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Haven MHP,09/15 08:00,09/12 08:56,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Holly Tree MHP,09/17 07:32,09/17 07:35,16185,314,Metering,1.0,2,1,Metering,0,0
?,The Oaks MHC,09/15 03:16,09/15 03:19,16131,296,Metering,1.0,22,20,Metering,1,0
?,Green Acres MHC,09/15 10:18,09/12 09:06,17078,391,Calibrating,0.0,4,0,Calibrating,0,0
?,Holly Tree MHP,09/16 09:43,09/16 09:47,17037,344,Metering,1.0,4,3,Metering,0,0
?,Paradise Village Cooperative MHC,09/15 09:05,09/12 09:22,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Holly Tree MHP,09/16 08:00,09/16 08:03,16185,314,Metering,1.0,4,3,Metering,0,0
?,Sara Drive MHP,09/15 03:07,09/15 03:10,362,209,Metering,1.0,22,20,Metering,1,0
?,Rustic Acres MHC,09/14 12:00,09/12 10:23,17078,391,Calibrating,0.10256410256410256,6,0,Calibrating,0,0
?,Holly Tree MHP,09/15 08:13,09/15 08:16,16185,314,Metering,1.0,10,9,Metering,0,0
?,Rustic Acres MHC,09/14 08:45,09/14 08:48,17037,344,Metering,1.0,2,1,Metering,0,0
?,Aurora MHC,09/14 07:15,09/14 07:18,17037,344,Metering,0.21212121212121213,6,5,Metering,0,0
?,Holly Tree MHP,09/16 08:56,09/16 08:59,16185,314,Metering,1.0,4,3,Metering,0,0
?,Holly Tree MHP,09/17 06:53,09/17 06:56,16185,314,Metering,1.0,2,1,Metering,0,0
?,Rainbird,09/15 12:28,09/12 10:54,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Singing Pines,09/15 13:57,09/12 11:10,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Highlands MHC,09/15 10:44,09/12 03:17,17078,391,Calibrating,0.0,6,0,Calibrating,0,0
?,Aurora MHC,09/14 09:57,09/12 08:55,17078,391,Metering,0.32653061224489793,8,7,Metering,0,0
?,Rustic Acres MHC,09/13 17:47,09/15 08:10,16185,314,Metering,1.0,7,6,Metering,0,1
?,Fowler Apts MF,09/15 07:24,09/12 07:00,17078,391,Failed Cal,0.0,6,0,Calibrating,0,0
?,Backwater MHC,09/16 06:51,09/16 06:55,17037,344,Metering,0.9692307692307692,12,6,Failed Cal,1,0
?,Holly Tree MHP,09/16 09:14,09/16 09:17,16185,314,Metering,1.0,4,3,Metering,0,0
?,Pace East,09/14 13:37,09/12 12:13,17078,391,Metering,0.25263157894736843,24,10,Metering,1,0
?,Holly Tree MHP,09/16 08:25,09/16 08:28,16185,314,Metering,1.0,4,3,Metering,0,0
?,Brighton Court MHP,09/15 07:54,09/12 07:59,17078,391,Calibrating,0.0,6,0,Calibrating,0,0
?,Backwater MHC,09/16 07:50,09/16 07:53,17037,344,Metering,1.0,4,3,Metering,0,19
?,Smitty's MHP,09/16 07:55,09/16 07:58,17037,344,Metering,1.0,4,3,Metering,0,0
?,Aurora MHC,09/16 11:17,09/16 11:18,17037,344,Failed Cal,0.0,8,0,Failed Cal,1,0
?,The Oaks MHC,09/17 04:51,09/17 04:54,16131,296,Metering,1.0,2,1,Metering,0,0
?,Parkwood,09/15 09:17,09/12 07:53,17078,391,Failed Cal,0.07142857142857142,8,0,Failed Cal,1,0
?,Holly Tree MHP,09/16 07:33,09/16 07:36,16185,314,Metering,1.0,4,3,Metering,0,0
?,Opekiska St Duplex,09/15 07:09,09/12 08:52,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,Backwater MHC,09/17 08:19,09/17 08:22,17032,344,Metering,1.0,2,1,Metering,0,0
?,Holly Tree MHP,09/17 08:12,09/17 08:14,17037,344,Metering,1.0,2,1,Metering,0,0
?,Shirlee's MHP,09/16 09:04,09/16 09:06,17032,344,Metering,1.0,2,1,Metering,0,0
?,Aurora MHC,09/15 09:43,09/12 08:34,17078,391,Failed Cal,0.1111111111111111,4,0,Calibrating,0,0
?,Holly Tree MHP,09/15 08:55,09/15 08:57,16185,314,Metering,1.0,8,7,Metering,0,0
?,Freedom MHP,09/15 08:08,09/12 07:40,17078,391,Calibrating,0.0,8,0,Failed Cal,1,0
?,Rustic Acres MHC,09/14 08:07,09/14 08:10,17037,344,Metering,0.8333333333333334,10,9,Metering,0,0
?,Holly Tree MHP,09/16 08:03,09/16 08:05,16185,314,Metering,1.0,4,3,Metering,0,0
?,Westview Mobile Estates MHC,09/17 07:13,09/17 07:15,16185,314,Metering,1.0,2,1,Metering,0,0
?,Rustic Acres MHC,09/14 03:10,09/14 03:12,17037,344,Metering,0.06896551724137931,8,7,Metering,0,0
?,Crystal Acres MHC,09/16 07:37,09/16 07:39,17032,344,Metering,1.0,4,1,Calibrating,0,54
?,Rustic Acres MHC,09/14 08:56,09/14 08:57,17037,344,Failed Cal,0.0,10,0,Calibrating,0,0
?,Rustic Acres MHC,09/15 07:03,09/12 08:57,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Holly Tree MHP,09/16 07:53,09/16 07:57,16185,314,Metering,1.0,8,7,Metering,0,0
?,Backwater MHC,09/16 07:35,09/16 07:37,17032,344,Metering,1.0,6,0,Failed Cal,0,0
?,The Oaks MHC,09/17 05:36,09/17 05:39,16131,296,Metering,1.0,2,1,Metering,0,0
?,Rainbird,09/14 11:12,09/12 11:11,17078,391,Calibrating,0.0,6,0,Calibrating,0,0
?,Blue Sky Village MHC,09/15 10:26,09/12 09:43,17078,391,Failed Cal,0.0,6,0,Calibrating,0,0
?,Rustic Acres MHC,09/14 02:43,09/14 02:46,15147,256,Metering,0.8793103448275862,8,6,Metering,1,0
?,Piney Park,09/15 09:35,09/12 09:07,17078,391,Failed Cal,0.0,4,0,Failed Cal,0,0
?,8 OnElaine,09/14 13:15,09/12 13:47,17078,391,Failed Cal,0.4864864864864865,6,0,Calibrating,0,0
?,Holly Tree MHP,09/16 08:19,09/16 08:23,16185,314,Metering,1.0,4,3,Metering,0,0
?,Aurora MHC,09/14 09:54,09/14 09:56,17037,344,Failed Cal,0.0,10,2,Calibrating,0,64
?,Smitty's MHP,09/16 09:34,09/16 09:37,17037,344,Metering,1.0,4,3,Metering,0,0
?,Shirlee's MHP,09/16 10:56,09/16 10:58,17060,368,Metering,0.925,2,1,Metering,0,0
?,Parkwood,09/15 08:54,09/12 08:25,17078,391,Failed Cal,0.0,8,0,Failed Cal,1,0
?,Roosevelt MHC,09/15 12:45,09/12 10:55,17078,391,Calibrating,0.0,4,0,Failed Cal,0,0
?,Kay Bee Mobile Villa MHP,09/15 12:26,09/12 11:26,17078,391,Calibrating,0.0,8,3,Metering,1,0
?,Ponderosa MHC,09/15 07:59,09/12 09:03,17078,391,Failed Cal,0.0,4,0,Calibrating,0,0
?,Aurora MHC,09/14 08:49,09/14 08:52,17037,344,Metering,0.22857142857142856,6,5,Metering,0,0
?,The Oaks MHC,09/17 05:01,09/17 05:04,16131,296,Metering,1.0,2,1,Metering,0,0
?,Ponderosa MHC,09/16 09:02,09/12 09:42,17078,391,Failed Cal,0.0,2,0,Calibrating,0,0
?,Rustic Acres MHC,09/14 07:08,09/14 07:11,17037,344,Metering,0.7307692307692307,20,16,Metering,0,6
?,Crystal Acres MHC,09/16 17:48,09/16 17:50,17037,344,Metering,1.0,2,1,Metering,0,0
?,The Oaks MHC,09/17 03:43,09/17 03:46,16131,296,Metering,1.0,6,2,Metering,0,0
?,Ponderosa MHC,09/15 00:25,09/11 23:11,17078,391,Calibrating,0.0,8,0,Calibrating,0,0
?,Sara Drive MHP,09/15 03:43,09/15 03:46,362,209,Metering,1.0,18,16,Metering,1,0
?,Aurora MHC,09/14 09:51,09/14 09:54,17037,344,Metering,0.9259259259259259,6,5,Metering,0,0
?,Aurora MHC,09/14 05:21,09/12 09:00,17078,391,Calibrating,0.0,10,0,Failed Cal,1,0
?,Lake Road Village RV Park-Cust,09/15 02:46,09/12 07:56,17078,391,Metering,0.06521739130434782,4,1,Calibrating,0,73
?,Ontario Place MHC-CUST,09/14 07:35,09/14 07:38,17037,344,Metering,0.8709677419354839,8,7,Metering,0,0
?,Ontario Place MHC-CUST,09/14 05:12,09/14 05:15,15147,0,Not Metering,0.44,10,9,Metering,0,0
?,Ontario Place MHC-CUST,09/14 07:57,09/14 08:01,17037,344,Metering,0.675,10,6,Metering,0,0
?,Ontario Place MHC-CUST,09/13 23:45,09/13 23:48,17037,344,Metering,0.8607594936708861,8,7,Metering,0,15
?,Ontario Place MHC-CUST,09/14 06:50,09/14 06:52,17037,344,Metering,1.0,8,7,Metering,0,0
?,Ontario Place MHC-CUST,09/14 06:58,09/14 07:01,17037,344,Metering,1.0,8,7,Metering,0,0
?,Ontario Place MHC-CUST,09/15 08:04,09/15 08:05,17037,344,Failed Cal,0.0,8,0,Calibrating,0,0
?,Ontario Place MHC-CUST,09/13 19:47,09/13 19:50,17037,344,Metering,0.7941176470588235,8,7,Metering,0,0
?,Ontario Place MHC-CUST,09/14 07:37,09/14 07:40,17037,344,Metering,1.0,12,11,Metering,0,0
?,Ontario Place MHC-CUST,09/14 06:51,09/14 06:54,17037,344,Metering,1.0,6,5,Metering,0,0
?,Ontario Place MHC-CUST,09/14 09:19,09/14 09:22,17037,344,Metering,1.0,6,5,Metering,0,0
?,Ontario Place MHC-CUST,09/15 07:26,09/12 07:23,17078,391,Failed Cal,0.04081632653061224,6,0,Calibrating,0,0
?,Shady Lane MHP-Cust,09/16 08:18,09/16 08:20,17037,344,Metering,1.0,4,3,Metering,0,0
?,Shady Lane MHP-Cust,09/15 08:24,09/15 08:26,17037,344,Metering,1.0,10,9,Metering,0,0
?,Shady Lane MHP-Cust,09/15 09:24,09/15 09:28,17037,344,Metering,1.0,46,45,Metering,0,0
?,Shady Lane MHP-Cust,09/15 07:53,09/12 08:16,17078,391,Metering,0.9090909090909091,6,5,Metering,0,0
?,Shady Lane MHP-Cust,09/16 07:40,09/16 07:43,17060,368,Metering,0.9411764705882353,4,3,Metering,0,0
?,Shady Lane MHP-Cust,09/15 06:49,09/15 06:51,17066,372,Metering,0.9705882352941176,10,9,Metering,0,0
?,Shady Lane MHP-Cust,09/15 09:45,09/12 09:19,17078,391,Metering,0.9285714285714286,4,3,Metering,0,0
?,Shady Lane MHP-Cust,09/17 08:16,09/17 08:18,17060,368,Metering,0.9459459459459459,2,1,Metering,0,0
?,Shady Lane MHP-Cust,09/15 08:14,09/12 06:58,17078,391,Metering,0.8333333333333334,6,5,Metering,0,0
?,Shady Lane MHP-Cust,09/16 09:02,09/16 09:04,17058,365,Metering,0.9393939393939394,4,3,Metering,0,1
?,Shady Lane MHP-Cust,09/16 07:37,09/12 06:47,17078,391,Metering,0.9393939393939394,4,3,Metering,0,0
?,Shady Lane MHP-Cust,09/16 09:22,09/16 09:24,17060,368,Metering,0.9705882352941176,3,2,Metering,0,0
?,Shady Lane MHP-Cust,09/15 09:10,09/12 08:50,17078,391,Metering,0.8571428571428571,6,5,Metering,0,0
?,Shady Lane MHP-Cust,09/16 07:57,09/16 08:00,17060,368,Metering,0.9166666666666666,4,3,Metering,0,0
