class,id,group,last_post,fwVer,fwVerTi,tiUartVer,boots_24h,posts_24h,bootReasonFlags,tifota_lastFailedVer,tifota_config_err,tiBslOkCnt,deviceState,VddAdc,meterVal
boot_looper,90cbff50-0b55-11f1-a3d9-c99c67c82bc1,Roosevelt MHC,09/12 23:17,17037,344,344,100,12,4,0,0,9,Metering,3655,6082
boot_looper,9eda8510-9a69-11f0-b5af-5dfa9891b485,Crystal Acres MHC,09/13 07:23,17085,344,344,21,43,20,391,0,14,Calibrating,3604,136
boot_looper,c1f100a0-a644-11f1-a1a6-391af391818e,Aurora MHC,09/13 08:38,17037,344,344,6,12,4,0,0,1,Metering,3648,39.817
boot_looper,9b90fef0-9fc5-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,09/13 09:15,17080,0,0,17,44,20,0,0,47,TI Silent,3543,12124.571
boot_looper,b7ccad80-4d76-11f1-b1bb-f3574cce671d,Virginia Beach HOA - Cust,09/13 10:37,17086,0,0,37,78,6,391,3,126,TI Silent,3576,2400
boot_looper,ad379e60-9a2b-11f0-b5af-5dfa9891b485,Virginia Beach HOA - Cust,09/13 09:26,17060,320,320,22,45,20,0,0,299,Metering,3487,1954
tifota_fail,82cfe210-d79b-11f0-b691-d965a62fa4fa,Azulejo,09/13 08:02,362,0,,0,2,6,,612,,Metering,3657,23167.932
tifota_fail,9eda8510-9a69-11f0-b5af-5dfa9891b485,Crystal Acres MHC,09/13 07:23,17085,344,344,21,43,20,391,0,14,Calibrating,3604,136
tifota_fail,a366d840-84a2-11f0-8b4a-0d0197d44616,Lafountaine MHC,09/09 08:45,16131,0,,0,0,36,296,3,,Not Metering,3504,28754.721
tifota_fail,e703e200-3a88-11f0-8e55-b138a1c03c8e,Aurora MHC,09/13 05:01,16022,260,,0,1,6,,7,,Metering,3648,38647.195
tifota_fail,dfe22720-89f1-11f1-a1a6-391af391818e,Ontario Place MHC-CUST,09/13 04:57,15147,0,344,0,1,6,0,15,14,Not Metering,3628,0
tifota_fail,b7ccad80-4d76-11f1-b1bb-f3574cce671d,Virginia Beach HOA - Cust,09/13 10:37,17086,0,0,37,78,6,391,3,126,TI Silent,3576,2400
tifota_fail,95712650-98f7-11f0-b5af-5dfa9891b485,Virginia Beach HOA - Cust,09/13 09:50,17060,325,325,0,2,6,368,0,1,Metering,3641,1490.827
tifota_fail,c814e6a0-06bb-11f1-a3d9-c99c67c82bc1,Estancia MHP-CUST,09/13 04:15,15147,256,,0,1,6,,3,,Metering,3653,14450.161
tifota_fail,7363e670-9fd6-11f0-b5af-5dfa9891b485,Carolina Springs MHP-CUST,09/13 07:41,362,0,,0,4,6,,54,,Metering,3625,19098.92
failed_cal,002d3980-a260-11f1-a1a6-391af391818e,All,09/12 11:15,17037,344,344,0,2,4,0,0,1,Failed Cal,3672,0
failed_cal,00ace920-a637-11f1-a1a6-391af391818e,All,09/12 09:55,17037,344,344,0,0,4,0,0,1,Failed Cal,3654,0
failed_cal,00ae8530-89fb-11f1-a1a6-391af391818e,All,09/13 08:44,17037,344,344,0,2,20,0,0,5,Failed Cal,3674,0
failed_cal,01063160-8535-11f1-a1a6-391af391818e,All,09/13 09:04,17037,344,344,0,4,6,0,0,7,Failed Cal,3683,0
failed_cal,0114de80-8ab3-11f1-a1a6-391af391818e,All,09/13 09:20,17037,344,344,0,1,6,0,0,24,Failed Cal,3679,0
