id,name,group,lastPost,fwVer,fwVerTi,deviceState,blank,captureDuration,tofA,tnormStddev,tnormMasd,gain,env,upamp,gatedAggs,tiAggCount,meterVal,failedCal,bBootCount,tiParked,tiWdReset,sfHeld,margin_us
f282aa60-86dd-11f1-a1a6-391af391818e,?,Smitty's MHP,09/17 07:58,17088,391,Metering,33,15,36456608,241,187,30,38,805,77507,80530,16.161,false,29,0,0,0,3.46
f2e76a30-86de-11f1-a1a6-391af391818e,?,All,09/16 08:38,17088,391,Failed Cal,25,30,24763564,0,0,55,30,111,0,0,0,true,38,0,0,0,-0.24
f307e310-8534-11f1-a1a6-391af391818e,?,All,09/17 08:22,17088,391,Failed Cal,25,30,24759784,0,0,55,30,103,0,0,0,true,23,0,0,0,-0.24
f31297a0-8788-11f1-a1a6-391af391818e,?,Shirlee's MHP,09/16 10:58,17088,391,Metering,27,15,29722696,538,399,40,34,867,15,22,19021,false,40,0,0,0,2.72
f36d0630-cf70-11ef-8f43-73c96c0de66f,?,Parkwood,09/17 08:11,17088,391,Failed Cal,30,30,0,0,0,55,30,112,0,0,47205,true,314,0,0,0,
f40b8c40-0b76-11f1-a3d9-c99c67c82bc1,?,Roosevelt MHC,09/16 10:58,17088,391,Failed Cal,30,30,0,0,0,55,30,147,0,0,19,true,52,0,0,0,
f4a30410-cf9b-11f0-9bfa-a7eff651ff22,?,Kay Bee Mobile Villa MHP,09/16 14:51,17088,391,Metering,35,15,38398532,198,255,52,46,656,53,81,120828,false,46,0,0,0,3.40
f4c127f0-837f-11f0-8b4a-0d0197d44616,?,Ponderosa MHC,09/16 09:16,17088,391,Calibrating,30,30,36630192,0,0,40,30,48,0,0,50525,false,150,0,0,0,6.63
f52ccfa0-89fa-11f1-a1a6-391af391818e,?,All,09/16 08:06,17088,391,Calibrating,25,30,0,0,0,40,30,22,0,0,0,false,28,0,0,0,
f554aa50-89f7-11f1-a1a6-391af391818e,?,All,09/16 07:18,17088,391,Failed Cal,25,30,24862876,0,0,55,30,121,0,0,0,true,28,0,0,0,-0.14
f5bb0d10-8497-11f0-8b4a-0d0197d44616,?,All,09/16 08:58,17088,391,Calibrating,25,30,0,0,0,40,30,110,0,0,3591,false,89,0,0,0,
f6464830-a25f-11f1-a1a6-391af391818e,?,All,09/16 12:33,17088,391,Calibrating,25,30,None,0,0,40,30,26,0,0,0,false,21,0,0,0,
f66c46c0-a25f-11f1-a1a6-391af391818e,?,All,09/16 07:07,17088,391,Calibrating,25,30,None,0,0,40,30,26,0,0,0,false,23,0,0,0,
f756c890-8acb-11f1-a1a6-391af391818e,?,Aurora MHC,09/16 06:56,17088,391,Metering,33,15,36614820,41,54,37,38,729,163504,165903,1602.215,false,30,0,0,0,3.61
