name,devname,Property,pipeType,pipesize,pin_blank,pin_capture,pin_calMinBlank,pin_lFactor,fwVer,fwVerTi,state,gain,env,blank,capture,tnQuietSd,tnQuietN,offset,tofA_us,tofB_us,tofA_ts
127ccfa0-4802-11f1-969c-6109d9dfb138,Device 75365351,,,,,,,,15155,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
48f201f0-47f7-11f1-969c-6109d9dfb138,Device 75365369,,,,,,,,15155,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
263a7f60-59fa-11f1-b1bb-f3574cce671d,Device 75365377,,,,,,,,16022,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
be9871d0-47f4-11f1-969c-6109d9dfb138,Device 75365385,,,,,,,,15155,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
dfa02bb0-52f4-11f1-b1bb-f3574cce671d,Device 75365393,Stafford MHC,P,¾,,,,,16185,314,Metering,30,58,36,15,,,-2432,40.908924,40.90568,09/18 09:14
2fca8ec0-0c35-11f1-8768-5551e7a34f27,Device 75365401,Noble Estates MHC,X,¾,,,,,16185,314,Metering,25,58,33,15,,,1152,37.12674,37.139924,09/18 08:40
29827530-6c13-11f1-9333-3b2cfe68422f,Device 75365419,Kay Lou MHC,X,¾,,,,,16131,296,Metering,50,65,33,15,,,1664,37.655628,37.65744,09/17 20:21
de14dc60-5497-11f1-b1bb-f3574cce671d,Device 75365427,Shady Lane MHP,X,½,,,,,17088,391,Calibrating,40,30,0,0,,,-16,29.408028,29.40703,
82c7a040-4d71-11f1-b1bb-f3574cce671d,Device 75365435,Broken Arrow MHP,X,¾,,,,,16131,296,Metering,30,57,33,15,,,-512,36.82172,36.821708,09/18 02:51
04d59440-0130-11f1-8726-d3fa6d0d96af,Device 75365443,Highlands MHC,P,¾,35,13,,,362,209,Metering,35,40,35,13,,,128,40.935388,40.937016,
906418f0-5497-11f1-b1bb-f3574cce671d,Device 75365450,,,,,,,,16022,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
