serial,apt,n_pre,n_post,zero_pre,conf_pre,zero_post,conf_post,noise_pre,noise_post,dir_rep_pre,dir_rep_post,dir_draw_post,pos_post,neg_post
79462295,36,20000,20000,3452,MED,-5628,HIGH,208.6,64.0,FLIPPED,NOT FLIPPED,NOT FLIPPED,3296,1
79462923,109,20000,18,-1591,MED,,,31.5,,NOT FLIPPED,NOT FLIPPED,no draws,,
79463012,2,20000,2181,-119,MED,6833,MED,435.1,110.1,UNKNOWN,UNKNOWN,ambiguous,929,607
79463301,52,21,0,,,,,,,UNKNOWN,UNKNOWN,no draws,,
79463426,169,2270,480,-31,HIGH,-3,MED,338.6,294.6,UNKNOWN,UNKNOWN,ambiguous,39,49
79463723,99,861,15332,3693,MED,4756,MED,83.9,88.1,UNKNOWN,UNKNOWN,NOT FLIPPED,5739,1448
79464069,1,20000,4151,-4,MED,-8566,MED,438.2,101.7,UNKNOWN,UNKNOWN,ambiguous,1433,1239
79464275,206,20000,2152,891,HIGH,-7708,MED,347.0,92.3,UNKNOWN,FLIPPED,NOT FLIPPED,20,8
79464317,44,20000,20000,-3853,HIGH,3985,HIGH,256.8,76.5,FLIPPED,FLIPPED,FLIPPED,1,1516
79464432,47A,8526,4497,-898,MED,-802,MED,292.5,272.6,UNKNOWN,UNKNOWN,NOT FLIPPED,1188,242
79466858,154 Shady Lane,20000,1211,5,HIGH,7496,MED,48.2,190.8,NOT FLIPPED,NOT FLIPPED,FLIPPED,80,557
