serial,property,fwVer,fwVerTi,ageDays,dropouts120d,qual0frac30d,qualN,hardResets,tier
65831490,Sara Drive MHP,362,209,591,0,0.00,60,0,OK
65831607,PW2,16022,260,591,0,0.00,30,0,OK
65831631,PW2,16185,314,591,1,0.00,56,2,MED
65831649,Green Grove Trailer Court MHC,16131,296,481,0,0.00,31,0,OK
65831698,Parkway MHC,16022,260,569,0,0.00,30,0,OK
65831706,Oakwood MHP,16022,260,584,0,0.00,30,0,OK
65831722,Fair Meadows MHC,16022,260,599,0,0.00,30,0,OK
65831730,PW2,16022,260,617,0,0.00,30,0,OK
65831771,Oakwood MHP,16022,260,599,0,0.00,30,0,OK
65831805,La Comunidad MHC,16185,314,619,0,0.00,59,2,OK
65831821,Alta Vista MHC,16185,314,591,1,0.00,62,2,MED
65831862,PW2,17037,344,619,1,0.02,62,0,MED
65831870,Coleman Village MHC,15154,260,599,0,0.00,30,0,OK
65831896,Wildwood Village MHC,362,209,599,0,0.00,60,0,OK
65831920,Estancia MHP,15147,256,566,0,0.00,30,0,OK
65831938,Estancia MHP,15147,256,613,0,0.00,28,0,OK
65831987,Sara Drive MHP,16022,260,599,0,0.00,30,0,OK
65832019,Parkway MHC,16022,260,599,0,0.00,30,0,OK
68584240,Parkview MHP,17037,344,640,1,0.04,46,0,MED
68584349,Sara Drive MHP,362,209,602,0,0.00,61,0,OK
68584471,PW2,16185,314,601,1,0.00,64,2,MED
68584505,Coleman Village MHC,16185,314,613,1,0.00,59,2,MED
68584554,Whispering Pines Mobile Estates,362,209,613,0,0.00,60,0,OK
68587987,Oakwood MHP,16185,314,579,1,0.00,63,2,MED
68588126,PW2,16022,260,601,0,0.00,30,0,OK
68588134,Parkview MHP,16185,314,601,1,0.00,62,2,MED
68588175,Trans Canada,362,209,613,0,0.00,60,0,OK
68588183,Browns MHP,15154,260,619,0,0.00,30,0,OK
68588225,Parker MHC,16185,314,617,1,0.00,60,2,MED
68588324,Aurora MHC,16131,296,601,0,0.00,30,0,OK
68593019,Aurora MHC,16022,260,613,0,0.00,30,0,OK
68593050,Oakwood MHP,16185,314,591,1,0.00,60,2,MED
68593134,Oaklawn Park HOA,15090,254,648,0,0.00,30,0,OK
68612462,Parkway MHC,16022,260,651,0,0.00,30,0,OK
68612504,PW2,16022,260,602,0,0.00,34,0,OK
68612520,Oaklawn Park HOA,15090,254,651,0,0.00,28,0,OK
68612587,PW2,16022,260,602,0,0.00,30,0,OK
68612637,Parkview MHP,17037,344,678,1,0.02,62,0,MED
68612751,Piney Park,16185,314,591,1,0.00,55,2,MED
68612850,Oaklawn Park HOA,15090,254,613,0,0.00,30,0,OK
68618634,Estancia MHP,16185,314,564,1,0.00,60,2,MED
68618733,La Comunidad MHC,16185,314,480,1,0.00,60,2,MED
68618758,Kingsbrook MHC,16131,296,451,0,0.00,30,0,OK
70258379,PW2,16185,314,399,1,0.00,70,2,MED
70258387,Aurora MHC,16022,260,413,0,0.00,30,0,OK
70258395,Coleman Village,15154,260,399,0,0.00,32,0,OK
70258411,Coleman Village,16185,314,399,1,0.08,74,2,MED
70258429,La Comunidad MHC,16185,314,309,1,0.00,60,2,MED
70258437,Maple Run MHP,362,209,405,0,0.00,60,0,OK
70258452,Maple Run MHP,16022,260,404,0,0.00,18,0,OK
70258460,Maple Run MHP,362,209,404,0,0.00,30,0,OK
70258494,PW2,16022,260,399,0,0.00,30,0,OK
70258510,Maple Run MHP,362,209,404,0,0.00,60,0,OK
