serial,apt,landed,days_on,dir_pre,dir_post,dir_post_all,offset_pre,offset_post,offset_post_min,offset_post_max,recs_pre,recs_post,tofNorm_med_pre,tofNorm_med_post,noise_pre_ps,noise_post_ps,waterFlowDir_attr,from_pair,ti_crossed,galday_pre_med,galday_pre_range,galday_post
77056630,31,09/15 10:24,0.9,FLIPPED,FLIPPED,FLIPPED,4234.0,4198.0,4198.0,4198.0,10000,10000,-43.0,30.0,106.9,79.7,,17078/391,no,,,
70271133,1008,09/15 07:35,1.0,FLIPPED,FLIPPED,FLIPPED,1728.0,-593.0,-593.0,-593.0,10000,8208,-6064.0,8.0,193.9,101.7,,17066/209,yes,98.0,54-274,
72389479,45,09/15 09:52,0.9,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,-2234.0,-2228.0,-2253.0,4488.0,7851,214,7.0,-525.5,39.8,331.3,1,17037/344,yes,1.0,-3-4,09/16:1
70269160,22,09/15 09:38,0.9,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,3686.0,3725.0,3725.0,3956.0,10000,3,3183.0,24.0,1735.0,,,17037/344,yes,,,
70272313,47,09/14 07:45,2.0,NOT FLIPPED,FLIPPED,FLIPPED,-2919.0,-2932.0,-2932.0,-2932.0,6,1299,4.5,-11776.0,,130.0,2,17037/344,yes,,,
72714092,TEST5,09/13 11:18,2.8,UNKNOWN,NOT FLIPPED,NOT FLIPPED/UNKNOWN,-384.0,-380.0,-399.0,-380.0,10000,10000,-16.0,1.0,83.9,79.7,1,17066/372,yes,,,
75363901,75 Shady Lane,09/15 08:24,1.0,FLIPPED,FLIPPED,FLIPPED,3152.0,2920.0,2920.0,2920.0,7742,7246,-5083.0,-37.0,143.6,31.5,,17037/344,yes,,,
75361806,2,09/15 08:34,1.0,NOT FLIPPED,FLIPPED,FLIPPED,1401.0,1434.0,1434.0,1434.0,10000,0,-38.0,,93.3,,,17060/368,yes,,,
75367589,113,09/15 06:57,1.0,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,4039.0,3745.0,3745.0,3745.0,10000,681,4674.0,4685.0,137.3,135.2,1,17037/344,yes,,,
70262298,42,09/14 09:19,1.9,UNKNOWN,UNKNOWN,NOT FLIPPED/UNKNOWN,2797.0,2783.0,2734.0,2783.0,714,9348,-22.5,-2593.0,2923.9,96.4,1,17037/344,yes,,,
77041962,40 Maple Lane APT #1,09/15 08:05,1.0,FLIPPED,FLIPPED,FLIPPED,911.5,907.0,907.0,907.0,10000,932,-41.0,-6095.5,78.6,161.4,,17078/391,no,,,
65828520,40 Maple Lane APT #4,09/15 07:17,1.0,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,-1667.0,-1665.5,-1667.0,-1664.0,10000,1699,5173.5,5369.0,124.8,132.1,,17078/391,no,,,
65823042,1038,09/15 03:07,1.2,FLIPPED,UNKNOWN,UNKNOWN,1216.0,-433.0,-482.0,-384.0,10000,10000,-5719.0,-31.0,168.8,74.4,,362/209,yes,38.0,28-68,09/16:20
77061812,25,09/16 07:33,0.0,FLIPPED,FLIPPED,FLIPPED/UNKNOWN,-4096.0,-4231.0,-4231.0,-4231.0,10000,667,-5118.0,-4890.0,100.6,109.6,2,16185/314,yes,,,
77028688,63,09/15 08:55,0.9,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED/UNKNOWN,-2048.0,-2116.0,-2165.0,-2067.0,10000,10000,4635.5,25.0,98.5,43.0,1,16185/314,yes,,,
79464432,47A,09/14 07:15,2.0,UNKNOWN,UNKNOWN,UNKNOWN,1620.0,1695.0,1646.0,1702.0,7716,5307,-137.0,-149.0,434.0,361.7,,17037/344,yes,,,
70267966,40 Maple Lane APT #5,09/15 07:10,1.0,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,382.0,107.0,56.0,107.0,10000,6522,5418.0,5350.0,126.9,120.6,,17028/341,yes,,,
70270143,33,09/15 03:16,1.2,FLIPPED,UNKNOWN,UNKNOWN,896.0,1000.0,1000.0,1004.0,0,10000,,14.0,,65.0,,16131/296,yes,,,
77059808,C53OFFICE,09/15 10:47,0.9,UNKNOWN,UNKNOWN,UNKNOWN,-1318.0,-1314.0,-1314.0,-1314.0,10000,72,-38.0,1204.5,155.2,91.2,,17060/368,yes,,,
72390147,259,09/15 10:01,0.9,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,2551.0,1314.0,1314.0,1314.0,0,11,,-1473.0,,620.6,,17078/391,no,0.0,0-0,09/16:0
72392382,55,09/15 08:13,1.0,FLIPPED,UNKNOWN,UNKNOWN,2048.0,2086.0,2086.0,2184.0,10000,8569,-5623.5,-26.0,103.8,43.0,,16185/314,yes,,,
72390634,139BONNER,09/15 09:20,0.9,UNKNOWN,UNKNOWN,UNKNOWN,-442.5,-399.0,-399.0,-399.0,10000,47,296.5,335.0,364.8,70.2,,17037/344,yes,,,
72390592,TEST2,09/13 11:19,2.8,UNKNOWN,NOT FLIPPED,NOT FLIPPED/UNKNOWN,-1354.0,-1330.0,-1365.0,-1330.0,10000,10000,-19.0,35.0,79.7,73.4,1,17066/372,yes,,,
70268923,47,09/14 09:57,1.9,UNKNOWN,FLIPPED,FLIPPED,27.0,-14.0,-14.0,17.0,10000,8460,171.5,64.0,393.1,391.0,2,17060/368,yes,,,
77053264,210,09/14 04:37,2.1,UNKNOWN,UNKNOWN,UNKNOWN,1152.0,776.5,744.0,801.0,10000,10000,-1219.0,-3103.5,1390.1,262.1,,16131/296,yes,,,
70266471,66,09/14 08:45,2.0,NOT FLIPPED,FLIPPED,FLIPPED,-5271.0,-5232.0,-5232.0,-5232.0,83,3,743.0,-74.0,624.3,,2,17037/344,yes,,,
75366938,29 Maple Lane,09/15 09:40,0.9,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,-661.0,-805.0,-805.0,-805.0,6197,280,58.0,3375.0,51.4,212.8,,17037/344,yes,,,
75364586,103 Shady Lane,09/15 08:14,1.0,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,5126.0,4879.0,4579.0,4879.0,9589,812,3112.0,3325.0,159.4,162.5,,17060/368,yes,,,
75368777,144 Shady Lane-Old,09/15 09:24,0.9,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,-7700.0,-7709.0,-7807.0,-7660.0,6552,10000,4530.5,18.0,121.6,35.6,,17037/344,yes,,,
79461115,15 Maple Lane,09/15 08:02,1.0,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,-1871.0,-1732.0,-1732.0,-1683.0,10000,7385,2241.0,23.0,89.1,53.5,1,17037/344,yes,,,
72384488,200,09/15 06:49,1.0,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,-620.0,-629.0,-629.0,-629.0,8696,0,28.0,,61.9,,1,17078/368,yes,,,
75367100,5033 Spruce Lane,09/15 07:57,1.0,NOT FLIPPED,NOT FLIPPED,NOT FLIPPED,1664.0,1644.0,1644.0,1644.0,10000,2123,6389.5,7224.0,174.0,205.5,1,17060/368,yes,,,
79464069,1,09/14 07:57,2.0,UNKNOWN,UNKNOWN,UNKNOWN,274.0,236.0,187.0,236.0,10000,10000,-2353.5,-3804.0,2033.8,726.5,2,17037/344,yes,,,
