group,serial,id,apt,state,fw,fwti,gain,tiPulse,crash,seen_h,nowater,pipe
Estancia MHP-CUST,75373330,ed266ca0-06bd-11f1-a3d9-c99c67c82bc1,17,Not Metering,16048,272,45,,0,2437.5,false,P ¾
Estancia MHP-CUST,77053306,7fc22350-3dc0-11f0-8e55-b138a1c03c8e,179,Not Metering,16048,0,0,,3,2437.7,false,C ¾
Estancia MHP-CUST,75364230,f6da3870-069b-11f1-a3d9-c99c67c82bc1,19,Not Metering,16048,272,45,,59,2436.8,true,P ¾
Estancia MHP-CUST,70268006,b4560c90-66b4-11f0-8658-7f4e94e41769,42,Not Metering,16048,272,45,,4,2438.4,false,X ¾
Estancia MHP-CUST,75369908,10510c30-06aa-11f1-a3d9-c99c67c82bc1,44,Not Metering,16048,0,0,,0,2462.8,false,P ¾
Estancia MHP-CUST,75373884,f4a540f0-06a4-11f1-a3d9-c99c67c82bc1,47,Not Metering,16128,295,55,,0,13.2,false,P ¾
Estancia MHP-CUST,75373587,e61ab830-06a4-11f1-a3d9-c99c67c82bc1,49,Not Metering,16048,0,0,,0,2462.6,false,P ¾
Estancia MHP-CUST,79462782,d4f6ea60-47f4-11f1-969c-6109d9dfb138,73,Not Metering,16048,0,0,,0,2438.6,false,X ¾
Estancia MHP-CUST,79465934,614caa90-47f5-11f1-969c-6109d9dfb138,78,Not Metering,16048,272,45,,0,2437.5,false,P ¾
Estancia MHP-CUST,65823794,ea638950-e308-11ef-a5fd-a97d57576080,81,Not Metering,16048,272,45,,0,2438.9,false,C ¾
Estancia MHP-CUST,75367001,4a77e9f0-06a1-11f1-a3d9-c99c67c82bc1,82,Not Metering,16048,272,45,,0,2437.4,false,P ¾
Estancia MHP-CUST,75374502,d66859d0-06bb-11f1-a3d9-c99c67c82bc1,167,TI Silent,17037,0,0,,0,105.5,false,P ¾
Fair Lane MHC,65828694,c7ace580-bdb2-11ef-8f43-73c96c0de66f,22,Not Metering,16185,0,0,,1,802.3,false,X ½
Fair Meadows MHC,65823471,496d0df0-c7b0-11ef-8f43-73c96c0de66f,145,Not Metering,16022,209,0,,0,2799.2,false,X ¾
