group,lever,serial,id,apt,tier,reported,draws,pos,neg,waterFlowDir_to_write
Coleman Village MHC-CUST,15154/260,70270572,b6b85440-666c-11f0-8658-7f4e94e41769,172,PIN,FLIPPED,FLIPPED,0,5136,2
Coleman Village MHC-CUST,15154/260,68584505,a12f9910-be35-11ef-8f43-73c96c0de66f,173,PIN,NOT FLIPPED,NOT FLIPPED,5377,0,1
Coleman Village MHC-CUST,15154/260,75370690,ff4ecab0-01dd-11f1-af1d-29d4205d602a,175,PIN,NOT FLIPPED,NOT FLIPPED,1193,120,1
Coleman Village MHC-CUST,15154/260,75371367,f62b0250-01dd-11f1-af1d-29d4205d602a,176,PIN,NOT FLIPPED,NOT FLIPPED,5704,0,1
Coleman Village MHC-CUST,15154/260,70261332,ec0a3b40-666c-11f0-8658-7f4e94e41769,177,PIN,FLIPPED,FLIPPED,0,2485,2
Coleman Village MHC-CUST,15154/260,70268428,ba4b17f0-666c-11f0-8658-7f4e94e41769,180,PIN,FLIPPED,FLIPPED,0,5650,2
Coleman Village MHC-CUST,15154/260,70273360,915f24a0-666f-11f0-8658-7f4e94e41769,183,PIN,FLIPPED,FLIPPED,0,4061,2
Coleman Village MHC-CUST,15154/260,70270622,5f9a07b0-668c-11f0-8658-7f4e94e41769,184,PIN,NOT FLIPPED,NOT FLIPPED,5775,1,1
Coleman Village MHC-CUST,15154/260,70258924,ca6071b0-66b4-11f0-8658-7f4e94e41769,185,PIN,FLIPPED,FLIPPED,0,5788,2
Country Edge MHC,362/209,75362143,60f46110-f0c4-11f0-8900-8bd481ce9a44,401.5,PIN,FLIPPED,FLIPPED,0,5751,2
Country Edge MHC,362/209,72723408,4b71f0a0-f0c4-11f0-8900-8bd481ce9a44,4061-2,PIN,NOT FLIPPED,NOT FLIPPED,4914,22,1
Country Edge MHC,362/209,72723101,54cdb8f0-f0c4-11f0-8900-8bd481ce9a44,408-1,PIN-B,NOT FLIPPED,NOT FLIPPED,3474,375,1
Country Edge MHC,362/209,75365245,6408cd00-f0c4-11f0-8900-8bd481ce9a44,414.5,PIN-B,NOT FLIPPED,NOT FLIPPED,3421,668,1
Country Edge MHC,362/209,72723960,604646c0-f0c4-11f0-8900-8bd481ce9a44,517-4,PIN-B,FLIPPED,FLIPPED,337,2089,2
Country Squire MHC,16185/314,70270101,17fd9440-9e67-11f0-b5af-5dfa9891b485,17,PIN,NOT FLIPPED,NOT FLIPPED,220,0,1
Country Squire MHC,16185/314,72379090,239aa260-9e59-11f0-b5af-5dfa9891b485,3,PIN,FLIPPED,FLIPPED,0,5508,2
Country Squire MHC,16185/314,72382441,85b709a0-842f-11f0-8b4a-0d0197d44616,3520 Miller Bridge R,PIN,FLIPPED,FLIPPED,0,5700,2
Country Squire MHC,16185/314,70271802,c1568a20-c6c0-11f0-9842-6d029661c338,38,PIN,FLIPPED,FLIPPED,0,5343,2
Country Squire MHC,16185/314,70272826,3e4b0ff0-9e59-11f0-b5af-5dfa9891b485,41,PIN,FLIPPED,FLIPPED,0,5687,2
Country Squire MHC,16185/314,72382730,b08bfbc0-9976-11f0-b5af-5dfa9891b485,46,PIN,FLIPPED,FLIPPED,0,5706,2
Country Squire MHC,16185/314,70269707,b4cd3280-51e6-11f0-acb1-514e01860b07,5,PIN,FLIPPED,FLIPPED,0,474,2
Country Squire MHC,16185/314,79460810,56c56340-3f31-11f1-b39d-b550dfb4ab8b,51B,PIN,FLIPPED,FLIPPED,0,5547,2
Country Squire MHC,16185/314,70269491,b2ee14b0-9341-11f0-ac3b-59f8170a8dd3,52B,PIN,NOT FLIPPED,NOT FLIPPED,5665,0,1
Country Squire MHC,16185/314,77058545,9d6fb320-2639-11f0-8272-45e3ef110760,53A,PIN,NOT FLIPPED,NOT FLIPPED,5430,0,1
Country Squire MHC,16185/314,70259740,e3ef3e60-629d-11f0-8658-7f4e94e41769,53B,PIN,FLIPPED,FLIPPED,0,3608,2
Country Squire MHC,16185/314,70265911,5c3c5a30-9e65-11f0-b5af-5dfa9891b485,54A,PIN,FLIPPED,FLIPPED,0,296,2
Country Squire MHC,16185/314,72381492,683d18e0-9e67-11f0-b5af-5dfa9891b485,56B,PIN,FLIPPED,FLIPPED,0,5564,2
Country Squire MHC,16185/314,70272735,00a82e00-9e66-11f0-b5af-5dfa9891b485,58A,PIN,NOT FLIPPED,NOT FLIPPED,5654,0,1
Country Squire MHC,16185/314,72391210,68d72610-9e53-11f0-b5af-5dfa9891b485,59B,PIN,FLIPPED,FLIPPED,22,5361,2
Country Squire MHC,16185/314,70268303,d157d720-520e-11f0-acb1-514e01860b07,62A,PIN,NOT FLIPPED,NOT FLIPPED,5677,0,1
Country Squire MHC,16185/314,72387150,656a4fb0-a971-11f0-98a7-c3bc57f9afe3,64A,PIN,FLIPPED,FLIPPED,0,5680,2
Country Squire MHC,16185/314,72384777,3d6fdf40-9e66-11f0-b5af-5dfa9891b485,6B,PIN,FLIPPED,FLIPPED,1,5141,2
Country Squire MHC,16185/314,70268451,6ba68970-5246-11f0-acb1-514e01860b07,70,PIN,NOT FLIPPED,NOT FLIPPED,5348,1,1
Country Squire MHC,16185/314,72393059,a14563c0-84e2-11f0-8b4a-0d0197d44616,71,PIN,NOT FLIPPED,NOT FLIPPED,5686,0,1
Country Squire MHC,16185/314,79461529,6f14fd70-3f31-11f1-b39d-b550dfb4ab8b,74,PIN,FLIPPED,FLIPPED,0,5713,2
Dorr Drive MHP,15085/254,72381286,4ac98670-a959-11f0-98a7-c3bc57f9afe3,1,PIN,FLIPPED,FLIPPED,35,5569,2
Dorr Drive MHP,15085/254,72383753,2a56cb00-a959-11f0-98a7-c3bc57f9afe3,17,PIN,NOT FLIPPED,NOT FLIPPED,5370,8,1
Dorr Drive MHP,15085/254,70266273,b5329ff0-a95a-11f0-98a7-c3bc57f9afe3,2,PIN,NOT FLIPPED,NOT FLIPPED,4948,0,1
Dorr Drive MHP,15085/254,72392937,8c42e910-842f-11f0-8b4a-0d0197d44616,6,PIN,FLIPPED,FLIPPED,20,5497,2
Dorr Drive MHP,15085/254,72379223,63074650-a959-11f0-98a7-c3bc57f9afe3,8,PIN,NOT FLIPPED,NOT FLIPPED,5461,70,1
Dorr Drive MHP,15085/254,70266364,9fe59a60-a939-11f0-98a7-c3bc57f9afe3,9,PIN,FLIPPED,FLIPPED,0,5855,2
Downtown Metro,362/209,77055517,bb8078a0-260b-11f0-8272-45e3ef110760,103,PIN-B,NOT FLIPPED,NOT FLIPPED,1815,396,1
Downtown Metro,362/209,77060996,8e4cbaf0-2639-11f0-8272-45e3ef110760,201,PIN-B,NOT FLIPPED,NOT FLIPPED,1950,500,1
East Barre MHP,362/209,70263494,893789d0-aabb-11f0-98a7-c3bc57f9afe3,5,PIN-B,FLIPPED,FLIPPED,1250,2751,2
East Barre MHP,362/209,70260490,85c71b30-aabb-11f0-98a7-c3bc57f9afe3,6,PIN-B,FLIPPED,FLIPPED,140,1011,2
Eastwood Hills MHC-CUST,362/209,72720560,97491280-c458-11f0-9842-6d029661c338,EH16,PIN-B,NOT FLIPPED,NOT FLIPPED,2448,974,1
Eastwood Hills MHC-CUST,362/209,72718283,428b31b0-c458-11f0-9842-6d029661c338,EH2,PIN-B,FLIPPED,FLIPPED,351,2041,2
Eastwood Hills MHC-CUST,362/209,70259823,4f71c750-c89e-11f0-9842-6d029661c338,EH202,PIN-B,FLIPPED,FLIPPED,169,2908,2
Eastwood Hills MHC-CUST,362/209,72720453,07027640-c8d0-11f0-9842-6d029661c338,EH205,PIN-B,NOT FLIPPED,NOT FLIPPED,861,421,1
Eastwood Hills MHC-CUST,362/209,72718093,b047e040-c8bd-11f0-9842-6d029661c338,EH206,PIN,FLIPPED,FLIPPED,0,5753,2
Eastwood Hills MHC-CUST,362/209,72723119,39bbcae0-c458-11f0-9842-6d029661c338,EH21,PIN-B,NOT FLIPPED,NOT FLIPPED,1707,723,1
Eastwood Hills MHC-CUST,362/209,75373140,82f67f10-012b-11f1-8726-d3fa6d0d96af,EH214,PIN-B,NOT FLIPPED,NOT FLIPPED,1804,771,1
Eastwood Hills MHC-CUST,362/209,70269111,e4db8740-c6c3-11f0-9842-6d029661c338,EH22,PIN-B,FLIPPED,FLIPPED,615,2171,2
Eastwood Hills MHC-CUST,362/209,72714282,8429cf60-c88a-11f0-9842-6d029661c338,EH255,PIN,NOT FLIPPED,NOT FLIPPED,4581,128,1
Eastwood Hills MHC-CUST,362/209,72714381,f0419e80-c6c3-11f0-9842-6d029661c338,EH29,PIN-B,FLIPPED,FLIPPED,110,884,2
Eastwood Hills MHC-CUST,362/209,72720040,f3fa2d90-c8cf-11f0-9842-6d029661c338,EH35,PIN,NOT FLIPPED,NOT FLIPPED,5510,0,1
Eastwood Hills MHC-CUST,362/209,72723218,70759460-c45a-11f0-9842-6d029661c338,EH4,PIN,NOT FLIPPED,NOT FLIPPED,3983,240,1
Eastwood Hills MHC-CUST,362/209,72720685,17965d50-c4cf-11f0-9842-6d029661c338,EH45,PIN,FLIPPED,FLIPPED,3,5112,2
Eastwood Hills MHC-CUST,362/209,72717541,49799f20-c43a-11f0-9842-6d029661c338,EH49,PIN,FLIPPED,FLIPPED,0,528,2
Eastwood Hills MHC-CUST,362/209,72716972,d03f1360-c439-11f0-9842-6d029661c338,EH51,PIN,FLIPPED,FLIPPED,14,5144,2
Eastwood Hills MHC-CUST,362/209,72723291,62e64d60-c4cf-11f0-9842-6d029661c338,EH57,PIN-B,FLIPPED,FLIPPED,496,1662,2
Eastwood Hills MHC-CUST,362/209,72715099,bce8a150-c6c3-11f0-9842-6d029661c338,EH6,PIN-B,NOT FLIPPED,NOT FLIPPED,2273,1000,1
Eastwood Hills MHC-CUST,362/209,70272479,474425e0-c458-11f0-9842-6d029661c338,EH7,PIN,FLIPPED,FLIPPED,62,4917,2
Eastwood Hills MHC-CUST,362/209,77054247,cb3f1e40-35a6-11f0-8e55-b138a1c03c8e,EH71,PIN-B,NOT FLIPPED,NOT FLIPPED,2936,162,1
Eastwood Hills MHC-CUST,362/209,65823729,2b891290-c943-11ef-8f43-73c96c0de66f,EH76,PIN-B,NOT FLIPPED,NOT FLIPPED,1969,872,1
Eastwood Hills MHC-CUST,362/209,72722871,7f608780-c88a-11f0-9842-6d029661c338,EH78,PIN-B,FLIPPED,FLIPPED,460,3019,2
Eastwood Hills MHC-CUST,362/209,72722889,923ae260-c88a-11f0-9842-6d029661c338,EH80,PIN-B,NOT FLIPPED,NOT FLIPPED,2312,493,1
Eastwood Hills MHC-CUST,362/209,72722244,4f914440-c4cf-11f0-9842-6d029661c338,EH85,PIN-B,NOT FLIPPED,NOT FLIPPED,2418,941,1
Eastwood Hills MHC-CUST,362/209,72715826,f066f4b0-c8cf-11f0-9842-6d029661c338,EH86,PIN-B,FLIPPED,FLIPPED,1108,2515,2
Eastwood Hills MHC-CUST,362/209,72721089,abeeaa70-c81c-11f0-9842-6d029661c338,EH88,PIN-B,NOT FLIPPED,NOT FLIPPED,3715,323,1
Eastwood Hills MHC-CUST,362/209,72713904,5aa08200-c458-11f0-9842-6d029661c338,EH89,PIN-B,NOT FLIPPED,NOT FLIPPED,2358,771,1
Eastwood Hills MHC-CUST,362/209,72718796,439045a0-c458-11f0-9842-6d029661c338,EH90,PIN,FLIPPED,FLIPPED,0,3937,2
Eastwood Hills MHC-CUST,362/209,72722822,683a4220-c458-11f0-9842-6d029661c338,EH91,PIN,NOT FLIPPED,NOT FLIPPED,5237,55,1
Eastwood Hills MHC-CUST,362/209,77061184,4ea378e0-26ce-11f0-8272-45e3ef110760,TR301,PIN,FLIPPED,FLIPPED,47,3724,2
Eastwood Hills MHC-CUST,362/209,77056036,47295d80-3cf6-11f0-8e55-b138a1c03c8e,TR303,PIN-B,FLIPPED,FLIPPED,769,2316,2
Eastwood Hills MHC-CUST,362/209,72722988,433d7ab0-c88a-11f0-9842-6d029661c338,TR309,PIN-B,FLIPPED,FLIPPED,890,1829,2
Eastwood Hills MHC-CUST,362/209,72722764,3268d810-c8d0-11f0-9842-6d029661c338,TR314,PIN-B,FLIPPED,FLIPPED,689,1542,2
Eastwood Hills MHC-CUST,362/209,72720412,ec249010-c8cf-11f0-9842-6d029661c338,TR316,PIN,FLIPPED,FLIPPED,55,5064,2
Eastwood Hills MHC-CUST,362/209,72714308,9b0b81b0-c88a-11f0-9842-6d029661c338,TR318,PIN-B,NOT FLIPPED,NOT FLIPPED,2266,591,1
Eastwood Hills MHC-CUST,362/209,65822390,4042b190-c93f-11ef-8f43-73c96c0de66f,TR319,PIN,FLIPPED,FLIPPED,22,4343,2
Eastwood Hills MHC-CUST,362/209,72720065,b29d7b30-c81c-11f0-9842-6d029661c338,TR321,PIN-B,FLIPPED,FLIPPED,747,3532,2
Eastwood Hills MHC-CUST,362/209,72721253,a6b54310-c4e4-11f0-9842-6d029661c338,TR325,PIN-B,NOT FLIPPED,NOT FLIPPED,2564,1237,1
Eastwood Hills MHC-CUST,362/209,72716725,73e36350-c4fc-11f0-9842-6d029661c338,TR329,PIN-B,NOT FLIPPED,NOT FLIPPED,2990,744,1
Eastwood Hills MHC-CUST,362/209,65830054,b0294800-1ba3-11f0-8272-45e3ef110760,TR330,PIN,FLIPPED,FLIPPED,76,1587,2
Eastwood Hills MHC-CUST,362/209,72714548,971ca4c0-c42b-11f0-9842-6d029661c338,TR336,PIN-B,FLIPPED,FLIPPED,511,2726,2
Eastwood Hills MHC-CUST,362/209,72715701,27353c40-c4cf-11f0-9842-6d029661c338,TR338,PIN,NOT FLIPPED,NOT FLIPPED,5799,10,1
Estancia MHP-CUST,15147/256,75370138,89eb78f0-06af-11f1-a3d9-c99c67c82bc1,10,PIN,FLIPPED,FLIPPED,0,5614,2
Estancia MHP-CUST,15147/256,75374684,0256c570-06be-11f1-a3d9-c99c67c82bc1,100,PIN,NOT FLIPPED,NOT FLIPPED,5182,4,1
Estancia MHP-CUST,15147/256,65826342,58c82220-e304-11ef-a5fd-a97d57576080,101,PIN,NOT FLIPPED,NOT FLIPPED,5884,0,1
Estancia MHP-CUST,15147/256,70260383,b6b284e0-668d-11f0-8658-7f4e94e41769,102,PIN,FLIPPED,FLIPPED,2,3792,2
Estancia MHP-CUST,15147/256,65830666,22549000-e4dc-11ef-a76f-4d93d4a482f0,103,PIN,NOT FLIPPED,NOT FLIPPED,5568,19,1
Estancia MHP-CUST,15147/256,65822846,144a0750-26b4-11f0-8272-45e3ef110760,104,PIN,FLIPPED,FLIPPED,2,2352,2
Estancia MHP-CUST,15147/256,75366797,d5d345c0-06bb-11f1-a3d9-c99c67c82bc1,105,PIN,FLIPPED,FLIPPED,0,5822,2
Estancia MHP-CUST,15147/256,65828199,76bcc060-e313-11ef-a5fd-a97d57576080,107,PIN,NOT FLIPPED,NOT FLIPPED,5551,0,1
Estancia MHP-CUST,15147/256,72714829,ecdabda0-06bd-11f1-a3d9-c99c67c82bc1,109,PIN,FLIPPED,FLIPPED,0,5774,2
Estancia MHP-CUST,15147/256,65829510,55c2fb30-e111-11ef-a5fd-a97d57576080,11,PIN,NOT FLIPPED,NOT FLIPPED,3863,9,1
Estancia MHP-CUST,15147/256,70261886,01b8a5b0-6133-11f0-9fcd-87e94e720126,111,PIN,FLIPPED,FLIPPED,1,5494,2
Estancia MHP-CUST,15147/256,75372431,d1808d70-06bb-11f1-a3d9-c99c67c82bc1,116,PIN,FLIPPED,FLIPPED,0,5432,2
Estancia MHP-CUST,15147/256,65822036,e86129a0-e308-11ef-a5fd-a97d57576080,120,PIN,NOT FLIPPED,NOT FLIPPED,4962,10,1
Estancia MHP-CUST,15147/256,75373785,c852b2f0-06bb-11f1-a3d9-c99c67c82bc1,121,PIN,NOT FLIPPED,NOT FLIPPED,4212,10,1
Estancia MHP-CUST,15147/256,65824768,24d4ab30-e4dc-11ef-a76f-4d93d4a482f0,122,PIN,NOT FLIPPED,NOT FLIPPED,4888,13,1
Estancia MHP-CUST,15147/256,65827761,a257e580-bdbe-11ef-8f43-73c96c0de66f,123,PIN,NOT FLIPPED,NOT FLIPPED,30,12,1
Estancia MHP-CUST,15147/256,72713771,e32d3dc0-06bb-11f1-a3d9-c99c67c82bc1,126,PIN,NOT FLIPPED,NOT FLIPPED,5470,21,1
Estancia MHP-CUST,15147/256,65824347,104bb090-26b4-11f0-8272-45e3ef110760,127,PIN,FLIPPED,FLIPPED,30,5055,2
Estancia MHP-CUST,15147/256,75374767,75d30450-06a5-11f1-a3d9-c99c67c82bc1,128,PIN,FLIPPED,FLIPPED,1,1175,2
Estancia MHP-CUST,15147/256,77059303,71d0a260-5c21-11f0-9fcd-87e94e720126,130,PIN,FLIPPED,FLIPPED,1,5854,2
Estancia MHP-CUST,15147/256,75373322,cb442d90-06bb-11f1-a3d9-c99c67c82bc1,132,PIN,FLIPPED,FLIPPED,11,4670,2
Estancia MHP-CUST,15147/256,65822010,d8938040-e30d-11ef-a5fd-a97d57576080,133,PIN,FLIPPED,FLIPPED,6,4466,2
Estancia MHP-CUST,15147/256,65825047,a5f37d30-be4a-11ef-8f43-73c96c0de66f,134,PIN,NOT FLIPPED,NOT FLIPPED,2535,217,1
Estancia MHP-CUST,15147/256,75360436,d68ea680-06bb-11f1-a3d9-c99c67c82bc1,136,PIN,NOT FLIPPED,NOT FLIPPED,5240,27,1
Estancia MHP-CUST,15147/256,65830567,2cad68c0-e657-11ef-bcd4-5bcca9a9134f,138,PIN,NOT FLIPPED,NOT FLIPPED,5607,0,1
Estancia MHP-CUST,15147/256,75372381,de356bd0-06bb-11f1-a3d9-c99c67c82bc1,139,PIN,FLIPPED,FLIPPED,0,5328,2
Estancia MHP-CUST,15147/256,72723655,ff91d910-06bd-11f1-a3d9-c99c67c82bc1,14,PIN,NOT FLIPPED,NOT FLIPPED,5785,1,1
Estancia MHP-CUST,15147/256,75374692,ea6496e0-06a4-11f1-a3d9-c99c67c82bc1,142,PIN,FLIPPED,FLIPPED,0,723,2
Estancia MHP-CUST,15147/256,70258734,feb55b50-6133-11f0-9fcd-87e94e720126,143,PIN,FLIPPED,FLIPPED,0,5763,2
Estancia MHP-CUST,15147/256,72717418,d6a589e0-06bb-11f1-a3d9-c99c67c82bc1,144,PIN,FLIPPED,FLIPPED,22,5325,2
Estancia MHP-CUST,15147/256,75373926,d6227730-06bb-11f1-a3d9-c99c67c82bc1,146,PIN,NOT FLIPPED,NOT FLIPPED,5852,0,1
Estancia MHP-CUST,15147/256,65830484,683342f0-e4dd-11ef-a76f-4d93d4a482f0,147,PIN,NOT FLIPPED,NOT FLIPPED,2537,0,1
Estancia MHP-CUST,15147/256,65823125,7bced210-e308-11ef-a5fd-a97d57576080,148,PIN,NOT FLIPPED,NOT FLIPPED,540,5,1
Estancia MHP-CUST,15147/256,75373777,d9cf5290-06bb-11f1-a3d9-c99c67c82bc1,151,PIN,FLIPPED,FLIPPED,0,5672,2
Estancia MHP-CUST,15147/256,75364636,d6b0d480-06bb-11f1-a3d9-c99c67c82bc1,153,PIN,NOT FLIPPED,NOT FLIPPED,5594,4,1
Estancia MHP-CUST,15147/256,65830161,26e987c0-e5a8-11ef-a76f-4d93d4a482f0,154,PIN,NOT FLIPPED,NOT FLIPPED,5297,70,1
Estancia MHP-CUST,15147/256,65827209,af5e7500-e58c-11ef-a76f-4d93d4a482f0,156,PIN,NOT FLIPPED,NOT FLIPPED,3684,0,1
Estancia MHP-CUST,15147/256,75372613,0c488c30-06be-11f1-a3d9-c99c67c82bc1,16,PIN,NOT FLIPPED,NOT FLIPPED,5148,0,1
Estancia MHP-CUST,15147/256,72724117,d97a54c0-06bb-11f1-a3d9-c99c67c82bc1,164,PIN,FLIPPED,FLIPPED,0,5293,2
Estancia MHP-CUST,15147/256,70267974,d82cc0f0-5223-11f0-acb1-514e01860b07,165,PIN,FLIPPED,FLIPPED,1,5710,2
Estancia MHP-CUST,15147/256,70267891,00b4eb10-c89e-11f0-9842-6d029661c338,170,PIN,NOT FLIPPED,NOT FLIPPED,5831,0,1
Estancia MHP-CUST,15147/256,72717202,1b9a4b50-c89e-11f0-9842-6d029661c338,171,PIN,FLIPPED,FLIPPED,17,5220,2
Estancia MHP-CUST,15147/256,65824172,2ddfa730-e657-11ef-bcd4-5bcca9a9134f,174,PIN,NOT FLIPPED,NOT FLIPPED,5770,11,1
Estancia MHP-CUST,15147/256,65825898,f8258de0-e669-11ef-bcd4-5bcca9a9134f,176,PIN,NOT FLIPPED,NOT FLIPPED,5566,3,1
Estancia MHP-CUST,15147/256,72715883,187bc1b0-c8a8-11f0-9842-6d029661c338,177,PIN,FLIPPED,FLIPPED,11,3323,2
Estancia MHP-CUST,15147/256,70265291,feaee820-6132-11f0-9fcd-87e94e720126,18,PIN,NOT FLIPPED,NOT FLIPPED,2723,52,1
Estancia MHP-CUST,15147/256,72722905,97b03230-c42b-11f0-9842-6d029661c338,181,PIN,FLIPPED,FLIPPED,1,5713,2
Estancia MHP-CUST,15147/256,75374056,e5cd0d60-06a4-11f1-a3d9-c99c67c82bc1,2,PIN,FLIPPED,FLIPPED,24,1525,2
Estancia MHP-CUST,15147/256,65831938,ca43ee60-be52-11ef-8f43-73c96c0de66f,21,PIN,FLIPPED,FLIPPED,0,5671,2
Estancia MHP-CUST,15147/256,70259849,d20bf1f0-66b4-11f0-8658-7f4e94e41769,22,PIN,NOT FLIPPED,NOT FLIPPED,5832,0,1
Estancia MHP-CUST,15147/256,75361228,eb1cd110-06a9-11f1-a3d9-c99c67c82bc1,26,PIN,NOT FLIPPED,NOT FLIPPED,5582,0,1
Estancia MHP-CUST,15147/256,75372571,cfdfd5c0-06bb-11f1-a3d9-c99c67c82bc1,28,PIN,NOT FLIPPED,NOT FLIPPED,3085,0,1
Estancia MHP-CUST,15147/256,70265473,1e398330-5bb1-11f0-9fcd-87e94e720126,3,PIN,FLIPPED,FLIPPED,4,5398,2
Estancia MHP-CUST,15147/256,75364198,ef871160-069b-11f1-a3d9-c99c67c82bc1,30,PIN,NOT FLIPPED,NOT FLIPPED,5317,14,1
Estancia MHP-CUST,15147/256,75374189,de2843e0-06a4-11f1-a3d9-c99c67c82bc1,31,PIN,FLIPPED,FLIPPED,0,4851,2
Estancia MHP-CUST,15147/256,75373900,fdd709b0-06bd-11f1-a3d9-c99c67c82bc1,32,PIN,NOT FLIPPED,NOT FLIPPED,5624,0,1
Estancia MHP-CUST,15147/256,70263395,0a844e20-5bb0-11f0-9fcd-87e94e720126,33,PIN,NOT FLIPPED,NOT FLIPPED,2215,127,1
Estancia MHP-CUST,15147/256,65827001,54307450-e111-11ef-a5fd-a97d57576080,34,PIN,NOT FLIPPED,NOT FLIPPED,420,0,1
Estancia MHP-CUST,15147/256,75372514,d50a5070-06bb-11f1-a3d9-c99c67c82bc1,35,PIN,NOT FLIPPED,NOT FLIPPED,5631,5,1
Estancia MHP-CUST,15147/256,65826706,0e60d930-e0e7-11ef-a5fd-a97d57576080,36,PIN,NOT FLIPPED,NOT FLIPPED,5642,2,1
Estancia MHP-CUST,15147/256,65828249,cc14ddd0-be52-11ef-8f43-73c96c0de66f,39,PIN,NOT FLIPPED,NOT FLIPPED,5132,4,1
Estancia MHP-CUST,15147/256,65823075,efce81c0-e721-11ef-bcd4-5bcca9a9134f,43,PIN,NOT FLIPPED,NOT FLIPPED,566,0,1
Estancia MHP-CUST,15147/256,70261423,b99e4870-66b4-11f0-8658-7f4e94e41769,46,PIN,FLIPPED,FLIPPED,0,1465,2
Estancia MHP-CUST,15147/256,75361889,10efcd20-06be-11f1-a3d9-c99c67c82bc1,5,PIN,NOT FLIPPED,NOT FLIPPED,4703,0,1
Estancia MHP-CUST,15147/256,75372027,9c7a7e80-06a5-11f1-a3d9-c99c67c82bc1,51,PIN,FLIPPED,FLIPPED,6,570,2
Estancia MHP-CUST,15147/256,65821970,afc6b510-e30d-11ef-a5fd-a97d57576080,52,PIN,FLIPPED,FLIPPED,0,5870,2
Estancia MHP-CUST,15147/256,65831920,d117e9a0-e30d-11ef-a5fd-a97d57576080,54 ,PIN,NOT FLIPPED,NOT FLIPPED,4485,0,1
Estancia MHP-CUST,15147/256,72719364,76857cb0-06ab-11f1-a3d9-c99c67c82bc1,55,PIN,FLIPPED,FLIPPED,0,5967,2
Estancia MHP-CUST,15147/256,72724000,fbc427b0-069b-11f1-a3d9-c99c67c82bc1,57,PIN,FLIPPED,FLIPPED,0,3357,2
Estancia MHP-CUST,15147/256,77041772,83ef8f70-3db7-11f0-8e55-b138a1c03c8e,58,PIN,NOT FLIPPED,NOT FLIPPED,5721,0,1
Estancia MHP-CUST,15147/256,72719398,f742e550-069b-11f1-a3d9-c99c67c82bc1,59,PIN,NOT FLIPPED,NOT FLIPPED,5406,1,1
Estancia MHP-CUST,15147/256,75361541,f70b3380-069b-11f1-a3d9-c99c67c82bc1,63,PIN,NOT FLIPPED,NOT FLIPPED,43,11,1
Estancia MHP-CUST,15147/256,75361491,ffa643e0-069b-11f1-a3d9-c99c67c82bc1,64,PIN,FLIPPED,FLIPPED,0,3365,2
Estancia MHP-CUST,15147/256,65827233,802e3490-e308-11ef-a5fd-a97d57576080,65,PIN,NOT FLIPPED,NOT FLIPPED,5756,0,1
Estancia MHP-CUST,15147/256,72723457,3c78f1a0-069c-11f1-a3d9-c99c67c82bc1,68,PIN,FLIPPED,FLIPPED,0,5198,2
Estancia MHP-CUST,15147/256,75367951,1ed0ffe0-06a5-11f1-a3d9-c99c67c82bc1,69,PIN,NOT FLIPPED,NOT FLIPPED,5572,0,1
Estancia MHP-CUST,15147/256,72724265,fbf48680-069b-11f1-a3d9-c99c67c82bc1,70,PIN,NOT FLIPPED,NOT FLIPPED,5677,2,1
Estancia MHP-CUST,15147/256,72722806,f2a05f50-069b-11f1-a3d9-c99c67c82bc1,71,PIN,NOT FLIPPED,NOT FLIPPED,414,0,1
Estancia MHP-CUST,15147/256,72724109,ed614b30-069b-11f1-a3d9-c99c67c82bc1,72,PIN,NOT FLIPPED,NOT FLIPPED,5178,0,1
Estancia MHP-CUST,15147/256,72724125,2ae5e3d0-069c-11f1-a3d9-c99c67c82bc1,74,PIN,FLIPPED,FLIPPED,3,5364,2
Estancia MHP-CUST,15147/256,75364032,3caef5c0-069c-11f1-a3d9-c99c67c82bc1,76,PIN,FLIPPED,FLIPPED,0,4031,2
Estancia MHP-CUST,15147/256,75366664,e8ba5860-069b-11f1-a3d9-c99c67c82bc1,77,PIN,FLIPPED,FLIPPED,1,253,2
Estancia MHP-CUST,15147/256,75372209,89f128d0-06b0-11f1-a3d9-c99c67c82bc1,8,PIN,NOT FLIPPED,NOT FLIPPED,4519,1,1
Estancia MHP-CUST,15147/256,65825559,46422150-01db-11f0-92a4-09772dfb61f8,83,PIN,NOT FLIPPED,NOT FLIPPED,347,0,1
Estancia MHP-CUST,15147/256,70261845,b65034e0-6672-11f0-8658-7f4e94e41769,84,PIN,FLIPPED,FLIPPED,0,5721,2
Estancia MHP-CUST,15147/256,75361350,e68ec5d0-069b-11f1-a3d9-c99c67c82bc1,85,PIN,FLIPPED,FLIPPED,78,2228,2
Estancia MHP-CUST,15147/256,65825955,f5e1ca30-e30d-11ef-a5fd-a97d57576080,86,PIN,NOT FLIPPED,NOT FLIPPED,5829,10,1
Estancia MHP-CUST,15147/256,65830757,d7c38420-e4d0-11ef-a76f-4d93d4a482f0,87,PIN,NOT FLIPPED,NOT FLIPPED,5154,15,1
Estancia MHP-CUST,15147/256,65822556,0ea89170-e4d5-11ef-a76f-4d93d4a482f0,88,PIN,NOT FLIPPED,NOT FLIPPED,3754,48,1
Estancia MHP-CUST,15147/256,70272008,fc0a2df0-6132-11f0-9fcd-87e94e720126,91,PIN,NOT FLIPPED,NOT FLIPPED,5603,4,1
