group,lever,serial,id,apt,tier,reported,draws,pos,neg,waterFlowDir_to_write
Brighton Court MHP,15090/254,72387853,7a65a060-ad43-11f0-98a7-c3bc57f9afe3,8,PIN,NOT FLIPPED,NOT FLIPPED,5572,0,1
Brighton Court MHP,15090/254,70259070,35042700-ad32-11f0-98a7-c3bc57f9afe3,9,PIN,FLIPPED,FLIPPED,13,5528,2
Brown's MHP-CUST,15154/260,68588183,0a2bb470-b9aa-11ef-8f43-73c96c0de66f,16,PIN,FLIPPED,FLIPPED,0,2896,2
Brown's MHP-CUST,15154/260,65829809,00d04d20-e653-11ef-bcd4-5bcca9a9134f,25,PIN,FLIPPED,FLIPPED,6,5736,2
Brown's MHP-CUST,15154/260,77058255,5448bc80-3d01-11f0-8e55-b138a1c03c8e,33,PIN,FLIPPED,FLIPPED,9,5713,2
Brown's MHP-CUST,15154/260,70262595,127509a0-9f9c-11f0-b5af-5dfa9891b485,41,PIN,FLIPPED,FLIPPED,1,4332,2
Brown's MHP-CUST,15154/260,65828728,50527ee0-c78b-11ef-8f43-73c96c0de66f,5,PIN,FLIPPED,FLIPPED,3,5379,2
CJ,362/209,72392788,9d571960-9a69-11f0-b5af-5dfa9891b485,102,PIN,FLIPPED,FLIPPED,0,5366,2
CJ,362/209,72383217,9e68d780-9a69-11f0-b5af-5dfa9891b485,103 exclude tenant,PIN,NOT FLIPPED,NOT FLIPPED,5649,0,1
CJ,362/209,70262678,9d8ecb30-9a69-11f0-b5af-5dfa9891b485,118,PIN,FLIPPED,FLIPPED,0,4601,2
CJ,362/209,72379835,99495950-9a69-11f0-b5af-5dfa9891b485,122 exclude tenant,PIN,FLIPPED,FLIPPED,1,5814,2
CJ,362/209,72723754,365f4240-0e6e-11f1-85e5-65eb60735c3d,126,PIN,FLIPPED,FLIPPED,0,5295,2
CJ,362/209,70263536,e8f94af0-842a-11f0-8b4a-0d0197d44616,127,PIN,FLIPPED,FLIPPED,0,5621,2
CJ,362/209,75365880,2affec50-0e6f-11f1-85e5-65eb60735c3d,132 exclude tenant,PIN,FLIPPED,FLIPPED,0,5708,2
Cactus Flower,362/209,75371375,c9d8fc30-f651-11f0-b153-63024d3301e1,1-BACK-UP HWA,PIN-B,NOT FLIPPED,NOT FLIPPED,2658,374,1
Cactus Flower,362/209,75362044,cd2a9830-f651-11f0-b153-63024d3301e1,5,PIN,FLIPPED,FLIPPED,4,3638,2
Carolina Springs MHP-CUST,362/209,70272727,7cd4b600-9fd9-11f0-b5af-5dfa9891b485,CSP110-1765-GILMOREST,PIN,NOT FLIPPED,NOT FLIPPED,5403,0,1
Carolina Springs MHP-CUST,362/209,70266505,70e3b210-9e53-11f0-b5af-5dfa9891b485,CSP114-390-BAINBRIDGECT,PIN,NOT FLIPPED,NOT FLIPPED,1736,101,1
