Device ID,Property,Apartment,State,Category,No Water,Gain,Pipe Type,Pipe Size,HW Flag,spiInitFail
75367696,Roosevelt MHC,43,Failed Cal,Casualty (metered pre-FW),false,55,P,¾,,0
75370492,Roosevelt MHC,42,Failed Cal,Casualty (metered pre-FW),false,55,X,¾,,0
75371425,Roosevelt MHC,107,Calibrating,Unclassified,false,40,X,¾,,0
75373611,Roosevelt MHC,83,Failed Cal,Pre-existing dead (never metered),false,55,X,¾,,0
72382011,Rustic Acres MHC,50,Calibrating,Unclassified,false,55,X,¾,,0
79454458,Rustic Acres MHC,41,Calibrating,Unclassified,false,40,X,¾,,0
70269798,Shady Lane MHP,40 Maple Lane APT #3,Failed Cal,Casualty (metered pre-FW),false,55,X,¾,,0
75366011,Shady Lane MHP,96 Shady Lane,Metering,Unclassified,false,26,X,¾,,0
72723994,Tuttle Estates MHC,3,Metering,Unclassified,false,44,X,¾,,0
72379926,Virginia Beach,105,Failed Cal,Casualty (metered pre-FW),false,50,X,¾,,0
72379959,Virginia Beach,107,Failed Cal,No Water flagged,true,55,X,¾,,0
72381047,Virginia Beach,91-OLD,Failed Cal,Pulled meter (OLD/REMOVED tag),false,55,X,¾,,0
72383043,Virginia Beach,243-OLD,Failed Cal,Pulled meter (OLD/REMOVED tag),false,55,X,¾,,0
72383167,Virginia Beach,144-OLD,Failed Cal,Pulled meter (OLD/REMOVED tag),false,35,C,¾,,0
72383621,Virginia Beach,5-OLD,Failed Cal,Pulled meter (OLD/REMOVED tag),false,55,X,¾,,0
72384314,Virginia Beach,40,Failed Cal,Casualty (metered pre-FW),false,55,X,¾,,0
72385097,Virginia Beach,211,Metering,Casualty (metered pre-FW),false,40,X,¾,Y,10624
72385246,Virginia Beach,9,Metering,Unclassified,false,38,X,¾,,0
72386145,Virginia Beach,201-OLD,Failed Cal,Pulled meter (OLD/REMOVED tag),false,55,X,¾,,0
72388364,Virginia Beach,153-OLD,Failed Cal,Pulled meter (OLD/REMOVED tag),false,55,X,¾,,0
72389966,Virginia Beach,99,Failed Cal,Casualty (metered pre-FW),false,55,X,¾,,0
72390816,Virginia Beach,239,Calibrating,No Water flagged,true,40,X,¾,,0
72392655,Virginia Beach,234-OLD,Failed Cal,Pulled meter (OLD/REMOVED tag),false,55,X,¾,,0
72392754,Virginia Beach,133,Metering,Unclassified,false,35,X,¾,,0
75372530,Virginia Beach,60,Failed Cal,Casualty (metered pre-FW),false,55,X,¾,,0
79454276,Virginia Beach,10-OLD,Failed Cal,Pulled meter (OLD/REMOVED tag),false,55,X,¾,,0
