serial,id,group,lever,apt,fw,ti,reported,attr,records,conf,quiet,basis,pos,neg,draws,verdict,pin_value,tier
72380635,b6529c70-a93a-11f0-98a7-c3bc57f9afe3,Flower Mound MHC-CUST,362/209,15,16185,314,NOT FLIPPED,,0,,,,0,0,,NO-DRAWS,,REPORTED-ONLY
72391921,bf8ef5e0-a93a-11f0-98a7-c3bc57f9afe3,Flower Mound MHC-CUST,362/209,29,362,209,FLIPPED,,5996,MED,54,largest=edge,0,4443,FLIPPED,LOW,2,PIN
72381575,c3a54170-a93a-11f0-98a7-c3bc57f9afe3,Flower Mound MHC-CUST,362/209,4,362,209,NOT FLIPPED,,5999,MED,,,0,0,,AMBIGUOUS-ZERO,,AMBIGUOUS-ZERO
72380114,cfbba7d0-a938-11f0-98a7-c3bc57f9afe3,Flower Mound MHC-CUST,362/209,2,362,209,NOT FLIPPED,,5999,MED,,,0,0,,AMBIGUOUS-ZERO,,AMBIGUOUS-ZERO
70265895,e7e1d720-a92f-11f0-98a7-c3bc57f9afe3,Flower Mound MHC-CUST,362/209,12,362,209,NOT FLIPPED,,6000,MED,,,0,0,,AMBIGUOUS-ZERO,,AMBIGUOUS-ZERO
72391731,f681d1c0-a931-11f0-98a7-c3bc57f9afe3,Flower Mound MHC-CUST,362/209,24,16185,314,FLIPPED,FLIPPED,6000,MED,-78,edge,9,5623,FLIPPED,LOW,,ATTR-OK
72387408,f8075c20-a938-11f0-98a7-c3bc57f9afe3,Flower Mound MHC-CUST,362/209,7,362,209,NOT FLIPPED,,6000,MED,,,0,0,,AMBIGUOUS-ZERO,,AMBIGUOUS-ZERO
70271505,fa402430-a92f-11f0-98a7-c3bc57f9afe3,Flower Mound MHC-CUST,362/209,31,362,209,FLIPPED,,5998,MED,,,0,0,,AMBIGUOUS-ZERO,,AMBIGUOUS-ZERO
77054205,96bdc1f0-aabb-11f0-98a7-c3bc57f9afe3,Papa Ken,362/209,MAIN,362,209,FLIPPED,,5994,MED,109,largest=edge,6,2831,FLIPPED,LOW,2,PIN
70264070,c67ef2e0-62b0-11f0-8658-7f4e94e41769,Ontario Place MHC-CUST,16037/344,75,16185,314,UNKNOWN,,6000,MED,65,edge,1,5611,FLIPPED,LOW,,DRAWS-ONLY
70259351,d140dae0-62b0-11f0-8658-7f4e94e41769,Ontario Place MHC-CUST,16037/344,151,16185,314,UNKNOWN,,5439,MED,143,edge,19,4741,FLIPPED,LOW,,DRAWS-ONLY
70259195,b36eb9d0-66b4-11f0-8658-7f4e94e41769,Ontario Place MHC-CUST,16037/344,4,16185,314,UNKNOWN,FLIPPED,4500,MED,-84,edge,37,3927,FLIPPED,LOW,,ATTR-OK
70267149,b4ec5920-66b4-11f0-8658-7f4e94e41769,Ontario Place MHC-CUST,16037/344,86,16185,314,UNKNOWN,,6000,MED,-438,edge,0,3183,FLIPPED,LOW,,DRAWS-ONLY
77058917,c1af6850-66b4-11f0-8658-7f4e94e41769,Ontario Place MHC-CUST,16037/344,152,16185,314,UNKNOWN,,5998,MED,-10,edge,12,5549,FLIPPED,LOW,,DRAWS-ONLY
72381500,a9af06e0-9f9c-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,22,16185,314,UNKNOWN,,1713,MED,12,edge,0,1615,FLIPPED,LOW,,DRAWS-ONLY
72381849,cc61a030-9f9c-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,60,16185,314,UNKNOWN,,5998,MED,-35,edge,5712,0,NOT FLIPPED,LOW,,DRAWS-ONLY
72389974,c21e8880-9fc5-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,97,16185,314,UNKNOWN,,5998,MED,7,edge,0,5709,FLIPPED,LOW,,DRAWS-ONLY
72379397,9e78b590-9fc5-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,138,16185,314,UNKNOWN,FLIPPED,6000,MED,-185,edge,0,5614,FLIPPED,LOW,,ATTR-OK
72392010,aaf2fbf0-9fc5-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,45,16185,314,UNKNOWN,,5999,MED,-151,edge,13,5546,FLIPPED,LOW,,DRAWS-ONLY
70273030,d26dc850-9f9c-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,90,16185,314,UNKNOWN,,4370,MED,113,edge,3809,0,NOT FLIPPED,LOW,,DRAWS-ONLY
72384660,a4d96650-9fc5-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,38,16185,314,UNKNOWN,NOT FLIPPED,6000,MED,37,edge,5033,60,NOT FLIPPED,LOW,,ATTR-OK
79464093,9feea330-39d5-11f1-b198-172a4a9f25c9,Ontario Place MHC-CUST,16037/344,98,16185,314,UNKNOWN,NOT FLIPPED,6,,,,0,0,,NO-DRAWS,,ATTR-PRESENT
70263221,c9d528f0-9f9c-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,19,16185,314,UNKNOWN,NOT FLIPPED,125,MED,-20,edge,105,0,NOT FLIPPED,LOW,,ATTR-OK
65824586,515281b0-e111-11ef-a5fd-a97d57576080,Ontario Place MHC-CUST,16037/344,5,16185,314,UNKNOWN,FLIPPED,6000,MED,,,0,0,,AMBIGUOUS-ZERO,,AMBIGUOUS-ZERO
70261209,89989a40-62a9-11f0-8658-7f4e94e41769,Ontario Place MHC-CUST,16037/344,136,16185,314,UNKNOWN,,5998,MED,153,edge,246,5036,FLIPPED,LOW,,DRAWS-ONLY
70268626,869d1d70-9fc6-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,137,16185,314,UNKNOWN,,5429,MED,129,edge,4869,134,NOT FLIPPED,LOW,,DRAWS-ONLY
70272743,c7d07f50-9f9c-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,83,16185,314,UNKNOWN,,5999,MED,-89,edge,0,5325,FLIPPED,LOW,,DRAWS-ONLY
70259807,ae07dd10-9fc5-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,36,16185,314,UNKNOWN,,5999,MED,85,edge,4849,67,NOT FLIPPED,LOW,,DRAWS-ONLY
72392713,4e2b0750-9f9d-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,16,16185,314,UNKNOWN,NOT FLIPPED,6000,MED,380,edge,5570,7,NOT FLIPPED,LOW,,ATTR-OK
70262256,db7e08b0-9f9c-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,58,16185,314,UNKNOWN,NOT FLIPPED,6000,MED,7,edge,5251,9,NOT FLIPPED,LOW,,ATTR-OK
70270812,a916de40-66b4-11f0-8658-7f4e94e41769,Ontario Place MHC-CUST,16037/344,77,16185,314,UNKNOWN,,5999,MED,182,edge,5555,0,NOT FLIPPED,LOW,,DRAWS-ONLY
72381765,bebf5490-9f9c-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,149,16185,314,UNKNOWN,,6000,MED,-138,edge,5282,7,NOT FLIPPED,LOW,,DRAWS-ONLY
72381799,cc95f6a0-9f9c-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,23,16185,314,UNKNOWN,,6000,MED,2257,largest,112,0,NOT FLIPPED,LOW,,DRAWS-ONLY
72391368,c9412650-9f9c-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,78,16185,314,UNKNOWN,FLIPPED,6000,MED,-68,edge,19,5640,FLIPPED,LOW,,ATTR-OK
70266513,a74cfe60-9fc5-11f0-b5af-5dfa9891b485,Ontario Place MHC-CUST,16037/344,69,16185,314,UNKNOWN,,6000,MED,326,edge,5071,52,NOT FLIPPED,LOW,,DRAWS-ONLY
